num_files,num_threads,precision,sub_b,tool,mean_wall_time,std_wall_time,min_wall_time,max_wall_time,mean_cpu_time,std_cpu_time,min_cpu_time,max_cpu_time,mean_max_rss_mb,std_max_rss_mb,min_max_rss_mb,max_max_rss_mb,mean_sort_time,std_sort_time,min_sort_time,max_sort_time,mean_sketch_creation_time,std_sketch_creation_time,mean_comparison_time,std_comparison_time
2,16,14,,bedtools,0.800061,0.488388,0.443862,1.490630,0.591644,0.125805,0.487804,0.768677,23.282552,6.122734,18.953125,31.941406,0.083448,0.000808,0.082704,0.084571,,,,
2,16,14,1,hammock_cpp_B,0.287355,0.009018,0.274914,0.296007,2.806535,0.017462,2.787729,2.829800,5.578125,0.000000,5.578125,5.578125,0.083448,0.000808,0.082704,0.084571,0.280667,0.011264,0.000000,0.000000
2,16,14,0.25,hammock_cpp_B_subB0.25,0.175831,0.033817,0.137326,0.219648,1.785716,0.056559,1.735262,1.864694,5.640625,0.000000,5.640625,5.640625,0.083448,0.000808,0.082704,0.084571,0.167333,0.029848,0.003000,0.004243
2,16,14,0.1,hammock_cpp_B_subB0.1,0.111920,0.035868,0.061220,0.138646,0.984838,0.114130,0.823697,1.073381,5.640625,0.000000,5.640625,5.640625,0.083448,0.000808,0.082704,0.084571,0.100333,0.031372,0.005333,0.003771
4,16,14,,bedtools,0.491246,0.006301,0.482464,0.496944,0.808373,0.016361,0.792044,0.830734,19.007812,0.003189,19.003906,19.011719,0.084181,0.000310,0.083946,0.084619,,,,
4,16,14,1,hammock_cpp_B,0.473578,0.037784,0.431790,0.523312,5.572250,0.027098,5.538401,5.604735,5.640625,0.000000,5.640625,5.640625,0.084181,0.000310,0.083946,0.084619,0.467667,0.038352,0.000000,0.000000
4,16,14,0.25,hammock_cpp_B_subB0.25,0.262938,0.029219,0.224177,0.294719,3.318314,0.038107,3.269477,3.362466,5.703125,0.000000,5.703125,5.703125,0.084181,0.000310,0.083946,0.084619,0.257667,0.029330,0.000000,0.000000
4,16,14,0.1,hammock_cpp_B_subB0.1,0.168890,0.014490,0.157678,0.189351,1.799485,0.024822,1.776969,1.834066,5.703125,0.000000,5.703125,5.703125,0.084181,0.000310,0.083946,0.084619,0.163333,0.014636,0.000000,0.000000
8,16,14,,bedtools,0.618013,0.007446,0.608434,0.626590,1.860484,0.012027,1.843673,1.871126,18.998698,0.009744,18.988281,19.011719,0.122985,0.015356,0.103035,0.140389,,,,
8,16,14,1,hammock_cpp_B,0.886090,0.031739,0.846106,0.923744,11.046426,0.045742,10.994535,11.105822,5.769531,0.000000,5.769531,5.769531,0.122985,0.015356,0.103035,0.140389,0.880667,0.031478,0.000000,0.000000
8,16,14,0.25,hammock_cpp_B_subB0.25,0.490573,0.019007,0.464861,0.510216,6.605238,0.045780,6.541072,6.644786,5.832031,0.000000,5.832031,5.832031,0.122985,0.015356,0.103035,0.140389,0.485000,0.018457,0.000000,0.000000
8,16,14,0.1,hammock_cpp_B_subB0.1,0.296837,0.031847,0.251876,0.321616,3.477233,0.093833,3.346128,3.560545,5.832031,0.000000,5.832031,5.832031,0.122985,0.015356,0.103035,0.140389,0.291667,0.031626,0.000000,0.000000
16,16,14,,bedtools,1.099495,0.003774,1.094821,1.104064,6.119811,0.029983,6.077411,6.141341,19.013021,0.003683,19.007812,19.015625,0.220222,0.015404,0.198438,0.231204,,,,
16,16,14,1,hammock_cpp_B,1.721804,0.031040,1.679817,1.753893,22.113755,0.022772,22.087668,22.143153,6.019531,0.000000,6.019531,6.019531,0.220222,0.015404,0.198438,0.231204,1.713000,0.030822,0.000000,0.000000
16,16,14,0.25,hammock_cpp_B_subB0.25,0.889403,0.023420,0.866119,0.921444,13.038526,0.102290,12.958814,13.182926,6.082031,0.000000,6.082031,6.082031,0.220222,0.015404,0.198438,0.231204,0.883667,0.022881,0.000000,0.000000
16,16,14,0.1,hammock_cpp_B_subB0.1,0.508699,0.041950,0.465000,0.565297,6.809570,0.182478,6.643045,7.063565,6.082031,0.000000,6.082031,6.082031,0.220222,0.015404,0.198438,0.231204,0.502667,0.042350,0.000000,0.000000
32,16,14,,bedtools,3.092696,0.009613,3.082201,3.105428,23.302287,0.120360,23.190219,23.469274,19.070312,0.011500,19.058594,19.085938,0.399924,0.010828,0.386126,0.412575,,,,
32,16,14,1,hammock_cpp_B,3.388314,0.034125,3.344665,3.427968,44.252909,0.152979,44.075939,44.449167,6.527344,0.000000,6.527344,6.527344,0.399924,0.010828,0.386126,0.412575,3.375333,0.033984,0.006333,0.000471
32,16,14,0.25,hammock_cpp_B_subB0.25,1.690878,0.023313,1.661134,1.718066,25.818424,0.048598,25.770766,25.885139,6.589844,0.000000,6.589844,6.589844,0.399924,0.010828,0.386126,0.412575,1.668000,0.014445,0.001000,0.000000
32,16,14,0.1,hammock_cpp_B_subB0.1,0.921480,0.062087,0.837001,0.984447,13.081345,0.204102,12.797788,13.269845,6.589844,0.000000,6.589844,6.589844,0.399924,0.010828,0.386126,0.412575,0.914667,0.062275,0.001000,0.000000
64,16,14,,bedtools,11.038648,0.096814,10.924591,11.161271,92.057348,0.585129,91.522119,92.871507,19.135417,0.004872,19.128906,19.140625,0.739548,0.019416,0.714141,0.761269,,,,
64,16,14,1,hammock_cpp_B,6.759618,0.039812,6.720806,6.814348,88.347226,0.076340,88.270268,88.451278,7.539062,0.000000,7.539062,7.539062,0.739548,0.019416,0.714141,0.761269,6.744333,0.034989,0.008667,0.005185
64,16,14,0.25,hammock_cpp_B_subB0.25,3.300718,0.065245,3.250528,3.392866,51.618377,0.172378,51.478967,51.861272,7.601562,0.000000,7.601562,7.601562,0.739548,0.019416,0.714141,0.761269,3.287667,0.064665,0.006333,0.000471
64,16,14,0.1,hammock_cpp_B_subB0.1,1.725047,0.037250,1.681382,1.772403,25.986418,0.130887,25.826794,26.147391,7.601562,0.000000,7.601562,7.601562,0.739548,0.019416,0.714141,0.761269,1.713667,0.037241,0.005000,0.000000
128,16,14,,bedtools,44.357630,1.211247,43.109723,45.997814,370.037958,5.039624,365.937189,377.136559,19.290365,0.012890,19.273438,19.304688,1.433610,0.009190,1.421083,1.442872,,,,
128,16,14,1,hammock_cpp_B,13.626577,0.304813,13.305384,14.036157,176.958509,0.451847,176.360420,177.452402,9.653646,0.091573,9.558594,9.777344,1.433610,0.009190,1.421083,1.442872,13.590667,0.302362,0.028333,0.005735
128,16,14,0.25,hammock_cpp_B_subB0.25,6.591582,0.079674,6.515615,6.701633,103.133922,0.146548,103.025130,103.341085,9.621094,0.000000,9.621094,9.621094,1.433610,0.009190,1.421083,1.442872,6.565667,0.079559,0.018000,0.001414
128,16,14,0.1,hammock_cpp_B_subB0.1,3.276069,0.027732,3.250130,3.314513,51.442864,0.062232,51.357309,51.503517,9.621094,0.000000,9.621094,9.621094,1.433610,0.009190,1.421083,1.442872,3.244000,0.024345,0.025000,0.004320
