num_files,num_threads,precision,sub_b,tool,mean_wall_time,std_wall_time,min_wall_time,max_wall_time,mean_cpu_time,std_cpu_time,min_cpu_time,max_cpu_time,mean_max_rss_mb,std_max_rss_mb,min_max_rss_mb,max_max_rss_mb,mean_sort_time,std_sort_time,min_sort_time,max_sort_time,mean_sketch_creation_time,std_sketch_creation_time,mean_comparison_time,std_comparison_time,mean_pair_time,std_pair_time,mean_write_time,std_write_time
2,16,14,,bedtools,0.822589,0.484737,0.479300,1.508110,0.622290,0.138285,0.523758,0.817852,23.329427,6.100638,19.011719,31.957031,0.086758,0.003916,0.083581,0.092274,,,,,,,,
2,16,14,1,hammock_cpp_B,0.215973,0.001890,0.213435,0.217967,2.727954,0.017499,2.704393,2.746290,5.347656,0.000000,5.347656,5.347656,0.086758,0.003916,0.083581,0.092274,0.209098,0.001537,0.000173,0.000007,0.000117,0.000001,0.000055,0.000007
2,16,14,0.25,hammock_cpp_B_subB0.25,0.107588,0.000626,0.107070,0.108469,1.576192,0.008236,1.570213,1.587838,5.410156,0.000000,5.410156,5.410156,0.086758,0.003916,0.083581,0.092274,0.102103,0.000610,0.000150,0.000001,0.000116,0.000001,0.000034,0.000000
2,16,14,0.1,hammock_cpp_B_subB0.1,0.064985,0.008393,0.056429,0.076388,0.836595,0.057454,0.763589,0.903986,5.410156,0.000000,5.410156,5.410156,0.086758,0.003916,0.083581,0.092274,0.059462,0.008618,0.000156,0.000012,0.000122,0.000013,0.000034,0.000001
2,16,14,1,hammock_ie_B,0.237760,0.014295,0.218354,0.252368,2.800928,0.055453,2.723263,2.849182,5.347656,0.000000,5.347656,5.347656,0.086758,0.003916,0.083581,0.092274,0.231808,0.014508,0.000225,0.000005,0.000170,0.000004,0.000055,0.000001
4,16,14,,bedtools,0.524505,0.022725,0.504868,0.556356,0.836482,0.013362,0.826637,0.855373,19.076823,0.008027,19.066406,19.085938,0.085023,0.000205,0.084734,0.085180,,,,,,,,
4,16,14,1,hammock_cpp_B,0.426340,0.001008,0.424943,0.427284,5.519947,0.023115,5.490545,5.547022,5.410156,0.000000,5.410156,5.410156,0.085023,0.000205,0.084734,0.085180,0.420069,0.000770,0.000177,0.000002,0.000120,0.000003,0.000056,0.000002
4,16,14,0.25,hammock_cpp_B_subB0.25,0.211040,0.001852,0.208805,0.213341,3.200627,0.029472,3.179414,3.242305,5.472656,0.000000,5.472656,5.472656,0.085023,0.000205,0.084734,0.085180,0.204729,0.002082,0.000155,0.000015,0.000117,0.000015,0.000037,0.000000
4,16,14,0.1,hammock_cpp_B_subB0.1,0.106382,0.000234,0.106177,0.106710,1.549676,0.002906,1.545695,1.552551,5.472656,0.000000,5.472656,5.472656,0.085023,0.000205,0.084734,0.085180,0.100459,0.000309,0.000154,0.000002,0.000114,0.000001,0.000040,0.000002
4,16,14,1,hammock_ie_B,0.423415,0.002761,0.419787,0.426479,5.480214,0.024904,5.446343,5.505510,5.410156,0.000000,5.410156,5.410156,0.085023,0.000205,0.084734,0.085180,0.417773,0.002774,0.000256,0.000003,0.000180,0.000004,0.000076,0.000003
8,16,14,,bedtools,0.637404,0.005977,0.633065,0.645856,1.893028,0.002458,1.891017,1.896488,19.078125,0.003189,19.074219,19.082031,0.100180,0.000546,0.099455,0.100774,,,,,,,,
8,16,14,1,hammock_cpp_B,0.842834,0.009343,0.831860,0.854694,10.976304,0.017928,10.951140,10.991565,5.539062,0.000000,5.539062,5.539062,0.100180,0.000546,0.099455,0.100774,0.836800,0.009236,0.000229,0.000003,0.000161,0.000002,0.000067,0.000001
8,16,14,0.25,hammock_cpp_B_subB0.25,0.411092,0.003203,0.408740,0.415621,6.392403,0.049355,6.356347,6.462189,5.601562,0.000000,5.601562,5.601562,0.100180,0.000546,0.099455,0.100774,0.405255,0.003404,0.000213,0.000014,0.000160,0.000014,0.000052,0.000002
