num_files,num_threads,precision,sub_b,tool,mean_wall_time,std_wall_time,min_wall_time,max_wall_time,mean_cpu_time,std_cpu_time,min_cpu_time,max_cpu_time,mean_max_rss_mb,std_max_rss_mb,min_max_rss_mb,max_max_rss_mb,mean_sort_time,std_sort_time,min_sort_time,max_sort_time,mean_sketch_creation_time,std_sketch_creation_time,mean_comparison_time,std_comparison_time,mean_pair_time,std_pair_time,mean_write_time,std_write_time,mean_bedtools_serial_ms,std_bedtools_serial_ms,mean_bedtools_parallel_eff,std_bedtools_parallel_eff,min_bedtools_parallel_eff,max_bedtools_parallel_eff,hostname,cpu_model,cpu_count,slurm_job_id,git_sha,binary_version,corpus_seed
2,16,18,,bedtools,0.143074,0.080975,0.122675,0.495995,0.190872,0.053962,0.176234,0.425942,19.642578,2.827825,18.980469,31.968750,0.121727,0.015130,0.112645,0.160544,,,,,,,,,12.251747,0.072039,0.023687,0.004035,0.006148,0.025059,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
2,16,18,1,hammock_cpp_B,0.247648,0.001153,0.245253,0.249501,3.535451,0.016635,3.495266,3.570759,9.099219,0.014214,9.078125,9.125000,0.121727,0.015130,0.112645,0.160544,0.238054,0.001183,0.001345,0.000306,0.001324,0.000305,0.000021,0.000003,,,,,,,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
2,16,18,1,hammock_ie_B,0.248927,0.001086,0.246557,0.251167,3.553804,0.014910,3.517684,3.578161,9.105078,0.014921,9.078125,9.132812,0.121727,0.015130,0.112645,0.160544,0.238301,0.001266,0.002472,0.000341,0.002442,0.000340,0.000029,0.000005,,,,,,,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
4,16,18,,bedtools,0.166872,0.002578,0.162959,0.171936,0.409169,0.003522,0.401345,0.414485,19.046484,0.008185,19.027344,19.058594,0.126672,0.005043,0.121195,0.136702,,,,,,,,,12.257707,0.074034,0.073477,0.001417,0.070840,0.075402,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
4,16,18,1,hammock_cpp_B,0.485396,0.001883,0.481834,0.488146,7.087392,0.022134,7.043559,7.120403,10.100391,0.016987,10.078125,10.132812,0.126672,0.005043,0.121195,0.136702,0.475926,0.001873,0.001212,0.000075,0.001185,0.000076,0.000026,0.000001,,,,,,,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
4,16,18,1,hammock_ie_B,0.486805,0.001905,0.481956,0.490296,7.112216,0.018014,7.063975,7.151955,10.105078,0.019527,10.078125,10.132812,0.126672,0.005043,0.121195,0.136702,0.475749,0.001944,0.002902,0.000270,0.002842,0.000270,0.000060,0.000001,,,,,,,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
8,16,18,,bedtools,0.283416,0.006808,0.270613,0.297189,1.168581,0.007265,1.154878,1.181832,19.045508,0.007440,19.031250,19.058594,0.147181,0.002173,0.144439,0.153240,,,,,,,,,12.278652,0.076894,0.173397,0.004355,0.163998,0.181996,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
8,16,18,1,hammock_cpp_B,0.963379,0.002896,0.958179,0.970062,14.240826,0.031246,14.184452,14.304943,12.102344,0.014699,12.082031,12.136719,0.147181,0.002173,0.144439,0.153240,0.950554,0.002681,0.004153,0.000336,0.004099,0.000334,0.000053,0.000002,,,,,,,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
8,16,18,1,hammock_ie_B,0.965540,0.003366,0.959314,0.972487,14.276046,0.030927,14.215468,14.338079,12.106641,0.016063,12.082031,12.136719,0.147181,0.002173,0.144439,0.153240,0.950241,0.003308,0.006727,0.000378,0.006537,0.000379,0.000189,0.000002,,,,,,,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
16,16,18,,bedtools,0.746606,0.015040,0.711878,0.787970,4.189723,0.013899,4.155952,4.223660,19.053516,0.007422,19.039062,19.066406,0.281153,0.006263,0.272627,0.299997,,,,,,,,,12.285137,0.076328,0.263390,0.005995,0.249257,0.278965,c529,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29671317,def9ce4-dirty,0.7.0,20260810
