peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie
broad,k5_w5,5,5,18,54,1,1,0,FALSE,1,1,0,FALSE
broad,k5_w8,5,8,18,54,1,0.9972972972972972,0.00270270270270267,FALSE,1,0.997297478268659,0.002702521731341,FALSE
broad,k5_w10,5,10,18,54,1,0.9917355371900828,0.00826446280991732,TRUE,1,0.9917360068801953,0.00826399311980474,TRUE
broad,k5_w15,5,15,18,54,0.9938271604938272,0.9753846153846154,0.01844254510921172,TRUE,0.9938270125975592,0.9753840200637548,0.01844299253380466,TRUE
broad,k5_w20,5,20,18,54,0.9965397923875432,0.976271186440678,0.02026860594686519,TRUE,0.9965394758993756,0.976269141015876,0.0202703348834996,TRUE
broad,k5_w25,5,25,18,54,0.9892086330935252,0.9422382671480144,0.04697036594551074,TRUE,0.9892075806075672,0.9422330134845096,0.04697456712305759,TRUE
broad,k5_w30,5,30,18,54,0.9615384615384616,0.9307692307692308,0.03076923076923077,FALSE,0.9615354465910978,0.9307648187366064,0.03077062785449136,FALSE
broad,k5_w50,5,50,18,54,0.8952879581151832,0.8543689320388349,0.04091902607634834,FALSE,0.8952952463530716,0.8543800072097912,0.04091523914328032,FALSE
broad,k5_w75,5,75,18,54,0.9022556390977444,0.8344827586206897,0.06777288047705465,FALSE,0.9022486532272396,0.8344689649226698,0.06777968830456993,FALSE
broad,k8_w8,8,8,18,54,0.9961596548004314,0.970153127433169,0.0260065273672625,TRUE,0.9961572691911068,0.970178063354968,0.02597920583613866,TRUE
broad,k8_w10,8,10,18,54,0.9953751537515376,0.9570195105662358,0.03835564318530171,TRUE,0.9953722260342612,0.957040536128048,0.03833168990621327,TRUE
broad,k8_w15,8,15,18,54,0.9940209267563528,0.9445946758007332,0.0494262509556197,TRUE,0.9940174940504248,0.9446246925823876,0.04939280146803737,TRUE
broad,k8_w20,8,20,18,54,0.9908236007887152,0.9328713728886964,0.05795222790001897,TRUE,0.9908207494794264,0.9328491485913596,0.05797160088806674,TRUE
