method,size_class,subB,n_reps,wall_median,wall_mean,wall_sd,cpu_median,rss_median_mb,sketch_median_s,pair_median_s,wall_nosub,wall_within,speedup_vs_nosub,speedup_vs_within,n_pairs,mae,max_err,median_err
hash-threshold,maurano,0.01,5,7.2551116943359375,7.27452654838562,0.034715851174581716,37.9389179999999,39.49609375,7.227,0.014,9.54316782951355,9.554694414138794,1.3153715933779346,1.3169603469507078,950,0.001920857594687257,0.00935680342930767,0.0017421532770980075
hash-threshold,maurano,0.05,5,8.099742412567139,8.09576873779297,0.042535882291694076,44.19511699999996,39.49609375,8.076,0.014,9.54316782951355,9.554694414138794,1.178206335883826,1.1796294162780074,950,9.369298031455603e-4,0.003387451171875,8.12530517578125e-4
hash-threshold,maurano,0.1,5,8.94671082496643,8.952935028076173,0.07437562261925844,50.807738,39.49609375,8.921,0.013,9.54316782951355,9.554694414138794,1.0666677414992183,1.0679561015290382,950,9.314486854954799e-4,0.00373077392578125,8.144378662109375e-4
hash-threshold,maurano,0.25,5,11.184473752975464,11.225714492797852,0.062102078272361506,68.1485740000001,39.49609375,11.158,0.016,9.54316782951355,9.554694414138794,0.853251394771679,0.8542819827885875,950,8.499145507812494e-4,0.00304412841796875,7.32421875e-4
hash-threshold,maurano,0.5,5,14.668177604675291,14.668238687515258,0.006028989366382602,94.33601400000008,39.49609375,14.639,0.015,9.54316782951355,9.554694414138794,0.6506035096324296,0.6513893321753453,950,8.74469154759457e-4,0.0026893615722656805,7.74383544921875e-4
hash-threshold,maurano,1,5,9.554694414138794,9.55328860282898,0.023966357205040412,55.498907999999986,39.43359375,9.528,0.014,9.54316782951355,9.554694414138794,0.9987936207977319,1,950,0,0,0
mixed-stride,maurano,0.01,5,3.636944055557251,3.6169672489166262,0.0629198090388656,9.831074999999998,39.4921875,3.607,0.017,9.54316782951355,9.519524574279783,2.623952330234937,2.617451472681838,950,0.0015368558112061144,0.009708936332959273,0.0011620848561876007
mixed-stride,maurano,0.05,5,4.365099906921387,4.373253917694091,0.04903374044627963,15.542812999999882,39.49609375,4.339,0.013,9.54316782951355,9.519524574279783,2.186242705323129,2.1808262759771986,950,0.0010443838019120078,0.003643035888671875,8.697509765625e-4
mixed-stride,maurano,0.1,5,5.2014055252075195,5.201141977310181,0.012123648251120568,22.026794000000436,39.49609375,5.176,0.013,9.54316782951355,9.519524574279783,1.8347286677157917,1.8301831164952256,950,9.404634174547715e-4,0.003490447998046875,7.705688476562222e-4
mixed-stride,maurano,0.25,5,7.646852016448975,7.63410267829895,0.03778593746311445,40.87877900000002,39.49609375,7.622,0.013,9.54316782951355,9.519524574279783,1.2479864667166898,1.2448945727997016,950,0.00124672337582237,0.003879547119140625,0.0011138916015625
mixed-stride,maurano,0.5,5,11.676263093948364,11.656934547424317,0.030903491492648955,71.40255200000016,39.49609375,11.648,0.014,9.54316782951355,9.519524574279783,0.8173135319689425,0.8152886328172593,950,7.072850277549336e-4,0.002559661865234375,5.264282226562222e-4
mixed-stride,maurano,1,5,9.519524574279783,9.52515354156494,0.01690706999408392,55.45866700000006,39.43359375,9.493,0.014,9.54316782951355,9.519524574279783,1.0024836592467703,1,950,0,0,0
single-hash,maurano,0.01,5,7.972174167633057,7.96320686340332,0.07230863654768722,43.422667999999575,39.49609375,7.946,0.015,9.54316782951355,9.545836210250854,1.1970596262508553,1.1973943380473107,950,0.0022567394787497853,0.010429086303996582,0.0019253046236366589
single-hash,maurano,0.05,5,8.53171682357788,8.526592826843261,0.076397182552164,47.811035000000054,39.49609375,8.506,0.014,9.54316782951355,9.545836210250854,1.1185518726008894,1.1188646327161724,950,0.0013130589535361831,0.004810333251953125,0.0011997222900390903
single-hash,maurano,0.1,5,9.21390700340271,9.22145447731018,0.03565390392161848,52.84154899999987,39.49609375,9.19,0.014,9.54316782951355,9.545836210250854,1.0357352017975918,1.0360248054083423,950,0.0010609275416324036,0.00458526611328125,8.506774902344028e-4
single-hash,maurano,0.25,5,11.064433813095093,11.03855495452881,0.054143463505950194,66.39720299999985,39.49609375,11.033,0.014,9.54316782951355,9.545836210250854,0.8625084654778197,0.8627496328780121,950,0.0010839964214124202,0.004024505615234375,9.174346923828125e-4
single-hash,maurano,0.5,5,13.61871075630188,13.603863096237182,0.04178800670334181,85.92485999999977,39.49609375,13.59,0.015,9.54316782951355,9.545836210250854,0.7007394459198404,0.7009353808203647,950,8.701324462890625e-4,0.00322723388671875,7.839202880859375e-4
single-hash,maurano,1,5,9.545836210250854,9.546418142318727,0.03875479306915134,55.43056599999985,39.43359375,9.516,0.014,9.54316782951355,9.545836210250854,0.999720466528177,1,950,0,0,0
