precision,num_files,arm,run_index,threads,num_intervals,n_pairs,sketch_time,comparison_time,pair_time,write_time,us_per_pair
12,64,no_metrics,0,16,10000,4096,5.014002,0.002912,0.001164,0.001748,0.2841796875
12,64,metrics,0,16,10000,4096,4.995034,0.012876,0.002931,0.009945,0.715576171875
12,64,metrics,1,16,10000,4096,4.993924,0.012849,0.002906,0.009943,0.70947265625
12,64,no_metrics,1,16,10000,4096,4.999516,0.002855,0.001119,0.001736,0.273193359375
12,64,no_metrics,2,16,10000,4096,4.996741,0.002897,0.001154,0.001743,0.28173828125
12,64,metrics,2,16,10000,4096,5.003591,0.013001,0.003059,0.009942,0.746826171875
12,64,metrics,3,16,10000,4096,5.002656,0.012848,0.002917,0.009931,0.712158203125
12,64,no_metrics,3,16,10000,4096,5.000014,0.002936,0.001185,0.00175,0.289306640625
12,64,no_metrics,4,16,10000,4096,4.998444,0.002898,0.00115,0.001747,0.28076171875
12,64,metrics,4,16,10000,4096,4.993179,0.012844,0.002935,0.009908,0.716552734375
14,64,no_metrics,0,16,10000,4096,5.128707,0.006963,0.005154,0.001809,1.25830078125
14,64,metrics,0,16,10000,4096,5.124976,0.021293,0.011327,0.009966,2.765380859375
14,64,metrics,1,16,10000,4096,5.094482,0.020992,0.011015,0.009976,2.689208984375
14,64,no_metrics,1,16,10000,4096,5.080306,0.006094,0.004305,0.001789,1.051025390625
14,64,no_metrics,2,16,10000,4096,5.114779,0.006552,0.004759,0.001792,1.161865234375
14,64,metrics,2,16,10000,4096,5.080907,0.02068,0.010653,0.010026,2.600830078125
14,64,metrics,3,16,10000,4096,5.085678,0.020894,0.010904,0.009989,2.662109375
14,64,no_metrics,3,16,10000,4096,5.088338,0.006035,0.004246,0.001789,1.03662109375
14,64,no_metrics,4,16,10000,4096,5.084971,0.005989,0.004205,0.001784,1.026611328125
14,64,metrics,4,16,10000,4096,5.081109,0.020719,0.010722,0.009996,2.61767578125
16,64,no_metrics,0,16,10000,4096,5.670233,0.021698,0.019877,0.001821,4.852783203125
16,64,metrics,0,16,10000,4096,5.664666,0.054468,0.04438,0.010088,10.8349609375
16,64,metrics,1,16,10000,4096,5.668438,0.054439,0.044359,0.010079,10.829833984375
16,64,no_metrics,1,16,10000,4096,5.669298,0.021706,0.019897,0.001808,4.857666015625
16,64,no_metrics,2,16,10000,4096,5.665319,0.021649,0.019855,0.001793,4.847412109375
16,64,metrics,2,16,10000,4096,5.658953,0.053821,0.04377,0.010051,10.68603515625
16,64,metrics,3,16,10000,4096,5.671288,0.053804,0.043723,0.01008,10.674560546875
16,64,no_metrics,3,16,10000,4096,5.669486,0.022018,0.020206,0.001812,4.93310546875
16,64,no_metrics,4,16,10000,4096,5.684582,0.018218,0.016376,0.001841,3.9980468750000004
16,64,metrics,4,16,10000,4096,5.669349,0.054197,0.04411,0.010087,10.76904296875
18,64,no_metrics,0,16,10000,4096,7.021108,0.066623,0.06475,0.001872,15.80810546875
18,64,metrics,0,16,10000,4096,7.022984,0.178094,0.167983,0.01011,41.011474609375
18,64,metrics,1,16,10000,4096,7.016893,0.177551,0.167458,0.010092,40.88330078125
18,64,no_metrics,1,16,10000,4096,7.041762,0.070938,0.069069,0.001868,16.862548828125
18,64,no_metrics,2,16,10000,4096,7.034485,0.070711,0.068816,0.001895,16.80078125
18,64,metrics,2,16,10000,4096,7.023639,0.177548,0.167413,0.010134,40.872314453125
18,64,metrics,3,16,10000,4096,7.027821,0.177521,0.167401,0.010119,40.869384765625
18,64,no_metrics,3,16,10000,4096,7.027556,0.067667,0.06581,0.001857,16.06689453125
18,64,no_metrics,4,16,10000,4096,7.040752,0.070438,0.068573,0.001865,16.741455078125
18,64,metrics,4,16,10000,4096,7.015987,0.177587,0.16746,0.010127,40.8837890625
20,64,no_metrics,0,16,10000,4096,12.450574,0.265332,0.263453,0.001879,64.319580078125
20,64,metrics,0,16,10000,4096,12.469512,0.732242,0.718023,0.014219,175.298583984375
20,64,metrics,1,16,10000,4096,12.466813,0.683854,0.673803,0.010051,164.502685546875
20,64,no_metrics,1,16,10000,4096,12.629112,0.245299,0.24342,0.001879,59.4287109375
20,64,no_metrics,2,16,10000,4096,12.424372,0.259872,0.257988,0.001884,62.9853515625
20,64,metrics,2,16,10000,4096,12.520675,0.678948,0.668884,0.010063,163.3017578125
20,64,metrics,3,16,10000,4096,12.600955,0.681957,0.671943,0.010013,164.048583984375
20,64,no_metrics,3,16,10000,4096,12.630502,0.264825,0.262944,0.00188,64.1953125
20,64,no_metrics,4,16,10000,4096,12.620159,0.265689,0.2638,0.001888,64.404296875
20,64,metrics,4,16,10000,4096,12.549836,0.684137,0.674059,0.010078,164.565185546875
22,64,no_metrics,0,16,10000,4096,44.19583,1.083919,1.082008,0.001911,264.162109375
22,64,metrics,0,16,10000,4096,44.600956,2.786421,2.770184,0.016236,676.314453125
22,64,metrics,1,16,10000,4096,44.442392,2.806282,2.785577,0.020704,680.072509765625
22,64,no_metrics,1,16,10000,4096,43.974911,1.275729,1.271891,0.003837,310.520263671875
22,64,no_metrics,2,16,10000,4096,44.422734,0.988547,0.986654,0.001892,240.88232421875
22,64,metrics,2,16,10000,4096,44.52275,2.745127,2.73507,0.010056,667.74169921875
22,64,metrics,3,16,10000,4096,44.3436,2.805797,2.784902,0.020894,679.90771484375
22,64,no_metrics,3,16,10000,4096,44.435804,1.065579,1.063677,0.001901,259.686767578125
22,64,no_metrics,4,16,10000,4096,44.458499,1.115092,1.113135,0.001956,271.761474609375
22,64,metrics,4,16,10000,4096,44.421843,2.734416,2.724357,0.010059,665.126220703125
24,64,no_metrics,0,16,10000,4096,98.339044,5.034026,5.028577,0.005448,1227.679931640625
24,64,metrics,0,16,10000,4096,98.392296,12.221435,12.201887,0.019548,2978.976318359375
24,64,metrics,1,16,10000,4096,98.572523,11.478037,11.468021,0.010016,2799.809814453125
24,64,no_metrics,1,16,10000,4096,97.188012,4.360159,4.358246,0.001913,1064.02490234375
