axis,tool,sub_b,precision,threads,num_files,num_intervals,run_id,corpus,wall_time,cpu_time,max_rss_mb,sort_time,sketch_creation_time,comparison_time,pair_time,write_time,metrics_wall_time,metrics_cpu_time,metrics_max_rss_mb,jaccard_n_pairs,jaccard_mae_vs_bt,jaccard_max_err_vs_bt,jaccard_mae_vs_hll,jaccard_max_err_vs_hll,jaccard_ie_mae_vs_bt,jaccard_ie_max_err_vs_bt,jaccard_ie_mae_vs_hll,jaccard_ie_max_err_vs_hll,hostname,cpu_model,cpu_count,slurm_job_id,binary_version,git_sha
precision,bedtools,,,16,20,192943,0,maurano,4.74089456,57.71896,31.9492188,0,,,,,,,,,,,,,,,,,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,12,16,20,192943,0,maurano,5.68318462,51.171975,26.6367188,0,5.664992,0.000667,0.000414,0.000253,5.68658757,51.155256,26.6367188,380,0.137441449,0.167991844,0.00508573126,0.0148238655,0.0087989947,0.0305242542,0.00879433598,0.0304729598,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,14,16,20,192943,0,maurano,5.702595,51.585055,28.5976562,0,5.684002,0.00141,0.001159,0.000251,5.74546719,52.027916,28.5976562,380,0.138251289,0.162560875,0.00246153432,0.00969037356,0.00401158755,0.017529409,0.0040258512,0.0179424209,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,16,16,20,192943,0,maurano,5.97239923,55.199911,31.5078125,0,5.95843,0.004382,0.00405,0.000331,5.94885254,55.262617,31.4921875,380,0.137989079,0.158055624,0.00129047892,0.00523170693,0.00267643859,0.00958892435,0.00271984344,0.00969617905,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,18,16,20,192943,0,maurano,6.418571,62.405723,38.6601562,0,6.386455,0.013743,0.01349,0.000253,6.44111919,62.881125,38.7070312,380,0.137910335,0.157544455,0.000735933202,0.00273820265,0.00115165752,0.0049739892,0.00115483221,0.0043800069,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,20,16,20,192943,0,maurano,9.64035845,89.23753,80.59375,0,9.562741,0.062153,0.061861,0.000292,9.69340706,90.569661,80.6171875,380,0.137725147,0.156795528,0.000408152828,0.00210908893,0.000589444315,0.002104435,0.000590773294,0.00208997607,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,22,16,20,192943,0,maurano,20.4744461,136.61457,244.65625,0,20.047914,0.399199,0.398794,0.000405,20.3816085,138.686377,244.65625,380,0.137756139,0.156853279,0.000235965036,0.00155381206,0.000277571653,0.00101106506,0.000280210496,0.000774156577,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,24,16,20,192943,0,maurano,58.3985758,292.263573,920.699219,0,56.511893,1.854721,1.854082,0.000639,59.0559549,303.195892,920.664062,380,0.137611534,0.156930696,0,0,0.000154334819,0.000593982294,0,0,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,bedtools,,,16,20,192943,1,maurano,4.22139502,56.918209,19.15625,0,,,,,,,,,,,,,,,,,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,12,16,20,192943,1,maurano,5.68572283,50.857709,26.6367188,0,5.667971,0.000664,0.00036,0.000304,5.69535875,51.061034,26.6367188,380,0.137441449,0.167991844,0.00508573126,0.0148238655,0.0087989947,0.0305242542,0.00879433598,0.0304729598,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,14,16,20,192943,1,maurano,5.70027781,51.744474,28.6328125,0,5.683721,0.001221,0.000975,0.000246,5.69290924,51.63467,28.5976562,380,0.138251289,0.162560875,0.00246153432,0.00969037356,0.00401158755,0.017529409,0.0040258512,0.0179424209,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,16,16,20,192943,1,maurano,5.96334457,55.3309,31.484375,0,5.946764,0.004513,0.004212,0.0003,5.97638321,55.191344,31.484375,380,0.137989079,0.158055624,0.00129047892,0.00523170693,0.00267643859,0.00958892435,0.00271984344,0.00969617905,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,18,16,20,192943,1,maurano,6.39706898,62.353849,38.6367188,0,6.364369,0.015115,0.014853,0.000262,6.4525249,62.910453,38.6992188,380,0.137910335,0.157544455,0.000735933202,0.00273820265,0.00115165752,0.0049739892,0.00115483221,0.0043800069,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,20,16,20,192943,1,maurano,9.80095363,89.724881,80.7226562,0,9.709059,0.07,0.069242,0.000758,9.70581126,90.120629,80.609375,380,0.137725147,0.156795528,0.000408152828,0.00210908893,0.000589444315,0.002104435,0.000590773294,0.00208997607,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,22,16,20,192943,1,maurano,19.9700067,136.198035,244.695312,0,19.592773,0.352343,0.35196,0.000382,20.0789933,139.741972,244.65625,380,0.137756139,0.156853279,0.000235965036,0.00155381206,0.000277571653,0.00101106506,0.000280210496,0.000774156577,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,hammock_cpp_B,1,24,16,20,192943,1,maurano,58.2364237,295.073301,920.65625,0,56.402443,1.804182,1.80382,0.000361,58.9086418,302.253747,920.535156,380,0.137611534,0.156930696,0,0,0.000154334819,0.000593982294,0,0,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
precision,bedtools,,,16,20,192943,2,maurano,4.22926044,56.900491,19.1523438,0,,,,,,,,,,,,,,,,,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,e0762a9-dirty
