axis,tool,sub_b,precision,threads,num_files,num_intervals,run_id,corpus,wall_time,cpu_time,max_rss_mb,sort_time,sketch_creation_time,comparison_time,pair_time,write_time,metrics_wall_time,metrics_cpu_time,metrics_max_rss_mb,jaccard_n_pairs,jaccard_mae_vs_bt,jaccard_max_err_vs_bt,jaccard_mae_vs_hll,jaccard_max_err_vs_hll,jaccard_ie_mae_vs_bt,jaccard_ie_max_err_vs_bt,jaccard_ie_mae_vs_hll,jaccard_ie_max_err_vs_hll,hostname,cpu_model,cpu_count,slurm_job_id,binary_version,git_sha
threads,bedtools,,,1,64,10000,0,synthetic,53.2495441,72.470669,20.5351562,0.479732752,,,,,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,hammock_cpp_B,1,18,1,64,10000,0,synthetic,81.6005466,81.466376,37.3125,0.479732752,80.677872,0.912782,0.910903,0.001879,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,bedtools,,,2,64,10000,0,synthetic,38.0896106,77.311822,31.9609375,0.479732752,,,,,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,hammock_cpp_B,1,18,2,64,10000,0,synthetic,46.0987146,84.129639,37.4882812,0.479732752,45.613389,0.456668,0.454741,0.001927,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,bedtools,,,4,64,10000,0,synthetic,21.8224456,85.809423,20.5273438,0.479732752,,,,,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,hammock_cpp_B,1,18,4,64,10000,0,synthetic,25.2789104,88.522564,38.0117188,0.479732752,25.031474,0.236719,0.234795,0.001923,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,bedtools,,,8,64,10000,0,synthetic,18.6632545,101.857039,20.4609375,0.479732752,,,,,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,hammock_cpp_B,1,18,8,64,10000,0,synthetic,13.4141715,95.884748,39.0585938,0.479732752,13.279966,0.122952,0.121005,0.001947,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,bedtools,,,16,64,10000,0,synthetic,32.0601447,114.466219,20.53125,0.479732752,,,,,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
threads,hammock_cpp_B,1,18,16,64,10000,0,synthetic,7.34600019,110.085221,41.1601562,0.479732752,7.26378,0.062426,0.060509,0.001917,,,,,,,,,,,,,c707,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29652415,0.7.0,da3c674-dirty
