bed1,bed2,jaccA,jaccB
BRCA1_hg38_c3.bed,AATF_hg38_c3.bed,0.027657,0.035389
CTCF_hg38_c3.bed,AATF_hg38_c3.bed,0.015352,0.019318
BRCA1_hg38_c3.bed,ADNP_hg38_c3.bed,0.010333,0.013564
CTCF_hg38_c3.bed,ADNP_hg38_c3.bed,0.005029,0.006633
BRCA1_hg38_c3.bed,AEBP2_hg38_c3.bed,0.002340,0.003089
CTCF_hg38_c3.bed,AEBP2_hg38_c3.bed,0.000395,0.000555
BRCA1_hg38_c3.bed,AFF1_hg38_c3.bed,0.125313,0.156750
CTCF_hg38_c3.bed,AFF1_hg38_c3.bed,0.045279,0.062607
BRCA1_hg38_c3.bed,AFF4_hg38_c3.bed,0.192072,0.231647
CTCF_hg38_c3.bed,AFF4_hg38_c3.bed,0.106076,0.142680
BRCA1_hg38_c3.bed,AGO1_hg38_c3.bed,0.136293,0.173891
CTCF_hg38_c3.bed,AGO1_hg38_c3.bed,0.077723,0.100172
BRCA1_hg38_c3.bed,AHRR_hg38_c3.bed,0.016083,0.021235
CTCF_hg38_c3.bed,AHRR_hg38_c3.bed,0.003326,0.004651
BRCA1_hg38_c3.bed,AHR_hg38_c3.bed,0.142342,0.175648
CTCF_hg38_c3.bed,AHR_hg38_c3.bed,0.081310,0.110948
BRCA1_hg38_c3.bed,APC_hg38_c3.bed,0.146962,0.192398
CTCF_hg38_c3.bed,APC_hg38_c3.bed,0.049078,0.067326
BRCA1_hg38_c3.bed,ARHGAP35_hg38_c3.bed,0.011875,0.015170
CTCF_hg38_c3.bed,ARHGAP35_hg38_c3.bed,0.004634,0.006285
BRCA1_hg38_c3.bed,ARID1A_hg38_c3.bed,0.089514,0.113896
CTCF_hg38_c3.bed,ARID1A_hg38_c3.bed,0.141926,0.183995
BRCA1_hg38_c3.bed,ARID1B_hg38_c3.bed,0.103714,0.126319
CTCF_hg38_c3.bed,ARID1B_hg38_c3.bed,0.070581,0.095694
BRCA1_hg38_c3.bed,ARID2_hg38_c3.bed,0.116425,0.147555
CTCF_hg38_c3.bed,ARID2_hg38_c3.bed,0.136365,0.176184
BRCA1_hg38_c3.bed,ARID3A_hg38_c3.bed,0.137212,0.164965
CTCF_hg38_c3.bed,ARID3A_hg38_c3.bed,0.079337,0.108839
BRCA1_hg38_c3.bed,ARID3B_hg38_c3.bed,0.017150,0.021620
CTCF_hg38_c3.bed,ARID3B_hg38_c3.bed,0.002845,0.004128
BRCA1_hg38_c3.bed,ARID4A_hg38_c3.bed,0.139855,0.178208
CTCF_hg38_c3.bed,ARID4A_hg38_c3.bed,0.050048,0.070546
BRCA1_hg38_c3.bed,ARID4B_hg38_c3.bed,0.112364,0.147554
CTCF_hg38_c3.bed,ARID4B_hg38_c3.bed,0.020195,0.028377
BRCA1_hg38_c3.bed,ARID5B_hg38_c3.bed,0.117912,0.153732
CTCF_hg38_c3.bed,ARID5B_hg38_c3.bed,0.020777,0.030782
BRCA1_hg38_c3.bed,ARNTL_hg38_c3.bed,0.123567,0.161543
CTCF_hg38_c3.bed,ARNTL_hg38_c3.bed,0.098570,0.129574
BRCA1_hg38_c3.bed,ARNT_hg38_c3.bed,0.107862,0.136589
CTCF_hg38_c3.bed,ARNT_hg38_c3.bed,0.160926,0.209086
BRCA1_hg38_c3.bed,ARRB1_hg38_c3.bed,0.119975,0.159951
CTCF_hg38_c3.bed,ARRB1_hg38_c3.bed,0.026325,0.038021
BRCA1_hg38_c3.bed,AR_hg38_c3.bed,0.030771,0.042866
CTCF_hg38_c3.bed,AR_hg38_c3.bed,0.248436,0.306816
BRCA1_hg38_c3.bed,ASCL1_hg38_c3.bed,0.057047,0.077022
CTCF_hg38_c3.bed,ASCL1_hg38_c3.bed,0.055686,0.072423
BRCA1_hg38_c3.bed,ASH1L_hg38_c3.bed,0.038894,0.051187
CTCF_hg38_c3.bed,ASH1L_hg38_c3.bed,0.005657,0.008529
BRCA1_hg38_c3.bed,ASH2L_hg38_c3.bed,0.115110,0.141962
CTCF_hg38_c3.bed,ASH2L_hg38_c3.bed,0.121266,0.164212
BRCA1_hg38_c3.bed,ASXL1_hg38_c3.bed,0.105327,0.135082
CTCF_hg38_c3.bed,ASXL1_hg38_c3.bed,0.012186,0.017958
BRCA1_hg38_c3.bed,ASXL3_hg38_c3.bed,0.126572,0.162633
CTCF_hg38_c3.bed,ASXL3_hg38_c3.bed,0.028581,0.040955
BRCA1_hg38_c3.bed,ATF1_hg38_c3.bed,0.161226,0.199714
CTCF_hg38_c3.bed,ATF1_hg38_c3.bed,0.056643,0.081465
