file1 file2 intersection union jaccard n_intersections
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 91434236 91434236 1 198621
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 53927147 152189855 0.354341 104343
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 37520373 155982051 0.240543 77072
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 37042746 168332851 0.220057 78690
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 40597416 178658657 0.227235 81191
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 35238384 169030592 0.208473 74468
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 26458147 128372558 0.206104 59417
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 32146153 159445842 0.201612 71285
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 33575244 155991734 0.215237 72744
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 28491335 149416495 0.190684 61399
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 44213194 169441927 0.260934 92639
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 46797125 184032871 0.254287 95177
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 43700575 171934412 0.25417 89821
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 40374165 154833496 0.260759 84095
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 41457993 157220909 0.263693 87728
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 41832476 157594967 0.265443 91161
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 41351828 154931639 0.266904 88538
