Accession	File	Target_of_Assay	Biosample_term_name	Organism	Life_stage
DS14718	fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed		fBrain	Homo sapiens	fetal
DS16302	fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed		fBrain	Homo sapiens	fetal
DS15643	fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed		fHeart	Homo sapiens	fetal
DS15839	fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed		fHeart	Homo sapiens	fetal
DS16621	fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed		fHeart	Homo sapiens	fetal
DS16559	fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed		fIntestine_Sm	Homo sapiens	fetal
DS16712	fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed		fIntestine_Sm	Homo sapiens	fetal
DS16822	fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed		fIntestine_Sm	Homo sapiens	fetal
DS17808	fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed		fIntestine_Sm	Homo sapiens	fetal
DS18495	fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed		fIntestine_Sm	Homo sapiens	fetal
DS17550	fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed		fKidney_renal_cortex_L	Homo sapiens	fetal
DS17154	fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed		fLung_L	Homo sapiens	fetal
DS18421	fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed		fLung_L	Homo sapiens	fetal
DS15632	fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed		fLung_R	Homo sapiens	fetal
DS19053	fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed		fMuscle_arm	Homo sapiens	fetal
DS18454	fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed		fMuscle_back	Homo sapiens	fetal
DS19115	fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed		fMuscle_leg	Homo sapiens	fetal
DS19158	fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed		fMuscle_leg	Homo sapiens	fetal
DS19745	fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed		fSkin_fibro_bicep_R	Homo sapiens	fetal
DS17659	fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed		fStomach	Homo sapiens	fetal
	README.md		README.md	Homo sapiens	fetal
