"accession","species","tissue"
"ENCFF002OCI","Mus_musculus","stomach"
"ENCFF004CIO","Mus_musculus","liver"
"ENCFF006EUF","Mus_musculus","kidney"
"ENCFF007HEF","Mus_musculus","liver"
"ENCFF009QVV","Mus_musculus","liver"
"ENCFF010QRA","Homo_sapiens","cerebellum"
"ENCFF011CZX","Mus_musculus","liver"
"ENCFF013BZI","Mus_musculus","stomach"
"ENCFF013EWJ","Mus_musculus","liver"
"ENCFF014GVW","Mus_musculus","stomach"
"ENCFF015HCS","Mus_musculus","kidney"
"ENCFF016UWL","Mus_musculus","liver"
"ENCFF017SHZ","Mus_musculus","stomach"
"ENCFF018QWT","Mus_musculus","stomach"
"ENCFF018UEW","Mus_musculus","kidney"
"ENCFF021FNS","Mus_musculus","stomach"
"ENCFF021GRI","Mus_musculus","kidney"
"ENCFF021JKS","Mus_musculus","cerebellum"
"ENCFF022GTH","Homo_sapiens","liver"
"ENCFF024JWR","Mus_musculus","stomach"
"ENCFF025DWO","Mus_musculus","liver"
"ENCFF025YLE","Mus_musculus","lung"
"ENCFF028APW","Homo_sapiens","stomach"
"ENCFF028CAI","Homo_sapiens","stomach"
"ENCFF029AVH","Mus_musculus","kidney"
"ENCFF031TMU","Mus_musculus","stomach"
"ENCFF032VWW","Mus_musculus","cerebellum"
"ENCFF033YBG","Mus_musculus","stomach"
"ENCFF035JSR","Mus_musculus","kidney"
"ENCFF035OMK","Mus_musculus","liver"
"ENCFF035OZJ","Homo_sapiens","lung"
"ENCFF036GSZ","Mus_musculus","liver"
"ENCFF036PIV","Mus_musculus","liver"
"ENCFF036RNM","Mus_musculus","kidney"
"ENCFF038RYW","Mus_musculus","liver"
"ENCFF038WIB","Mus_musculus","liver"
"ENCFF038XRU","Mus_musculus","kidney"
"ENCFF039DFM","Homo_sapiens","lung"
"ENCFF042RGD","Mus_musculus","stomach"
"ENCFF042TEC","Mus_musculus","kidney"
"ENCFF044CNS","Mus_musculus","lung"
"ENCFF044URH","Mus_musculus","lung"
"ENCFF045XJN","Mus_musculus","lung"
"ENCFF046NEJ","Mus_musculus","kidney"
"ENCFF046URS","Mus_musculus","cerebellum"
"ENCFF049CMP","Mus_musculus","kidney"
"ENCFF049LZF","Mus_musculus","lung"
"ENCFF051OFP","Mus_musculus","liver"
"ENCFF051QSE","Mus_musculus","liver"
"ENCFF052NMT","Mus_musculus","stomach"
"ENCFF052OYS","Homo_sapiens","liver"
"ENCFF055HYI","Mus_musculus","kidney"
"ENCFF055IQW","Mus_musculus","liver"
"ENCFF055YCZ","Mus_musculus","stomach"
"ENCFF057NBK","Homo_sapiens","stomach"
"ENCFF057XST","Homo_sapiens","cerebellum"
"ENCFF057ZFW","Homo_sapiens","kidney"
"ENCFF060SVG","Mus_musculus","liver"
"ENCFF062OME","Mus_musculus","liver"
"ENCFF063ZRU","Mus_musculus","liver"
"ENCFF067HFE","Homo_sapiens","cerebellum"
"ENCFF067QMK","Mus_musculus","liver"
"ENCFF068DQL","Mus_musculus","lung"
"ENCFF068HOE","Mus_musculus","kidney"
"ENCFF068ZZZ","Homo_sapiens","lung"
"ENCFF069JJR","Mus_musculus","liver"
"ENCFF069SZE","Homo_sapiens","stomach"
"ENCFF071NUY","Mus_musculus","stomach"
"ENCFF072JUZ","Mus_musculus","stomach"
"ENCFF073VHH","Mus_musculus","kidney"
"ENCFF074XPH","Mus_musculus","liver"
"ENCFF075PGQ","Mus_musculus","liver"
"ENCFF076ICC","Mus_musculus","liver"
"ENCFF077FTL","Mus_musculus","liver"
"ENCFF077GNS","Mus_musculus","kidney"
"ENCFF079BWB","Mus_musculus","lung"
"ENCFF080FVG","Mus_musculus","stomach"
"ENCFF080QJP","Mus_musculus","cerebellum"
"ENCFF081HFB","Mus_musculus","liver"
"ENCFF081TTU","Mus_musculus","liver"
"ENCFF081WNU","Homo_sapiens","cerebellum"
"ENCFF082LUP","Mus_musculus","cerebellum"
"ENCFF084TXQ","Mus_musculus","kidney"
"ENCFF085XLU","Homo_sapiens","liver"
"ENCFF087IDL","Mus_musculus","liver"
"ENCFF087LYN","Mus_musculus","cerebellum"
"ENCFF093MLN","Mus_musculus","kidney"
"ENCFF093YCO","Mus_musculus","liver"
"ENCFF094YCP","Mus_musculus","liver"
"ENCFF095KZL","Mus_musculus","stomach"
"ENCFF096RJT","Mus_musculus","stomach"
"ENCFF097ZUJ","Mus_musculus","stomach"
"ENCFF099LUG","Mus_musculus","stomach"
"ENCFF100UMO","Mus_musculus","liver"
"ENCFF100YMT","Mus_musculus","kidney"
"ENCFF106WBX","Homo_sapiens","liver"
"ENCFF107DXU","Mus_musculus","stomach"
"ENCFF107ILF","Homo_sapiens","lung"
"ENCFF107NUV","Mus_musculus","liver"
"ENCFF109LQF","Mus_musculus","liver"
"ENCFF111JBV","Homo_sapiens","cerebellum"
"ENCFF111KJA","Mus_musculus","liver"
"ENCFF111KUY","Mus_musculus","lung"
"ENCFF113QEB","Mus_musculus","kidney"
"ENCFF114WRE","Homo_sapiens","cerebellum"
"ENCFF117BTA","Mus_musculus","cerebellum"
"ENCFF117TPW","Mus_musculus","kidney"
"ENCFF119NKW","Mus_musculus","liver"
"ENCFF121NFT","Homo_sapiens","liver"
"ENCFF126SFJ","Mus_musculus","kidney"
"ENCFF128LGT","Mus_musculus","liver"
"ENCFF128NIW","Mus_musculus","liver"
"ENCFF131RVN","Homo_sapiens","lung"
"ENCFF133CAX","Mus_musculus","liver"
"ENCFF133QIN","Mus_musculus","stomach"
"ENCFF133VPS","Mus_musculus","liver"
"ENCFF135HAX","Mus_musculus","stomach"
"ENCFF136AEE","Homo_sapiens","kidney"
"ENCFF138PZQ","Mus_musculus","lung"
"ENCFF139JJY","Homo_sapiens","stomach"
"ENCFF139PQA","Mus_musculus","lung"
"ENCFF143IYU","Mus_musculus","liver"
"ENCFF144HIW","Mus_musculus","kidney"
"ENCFF146AZT","Mus_musculus","liver"
"ENCFF146CZD","Mus_musculus","kidney"
"ENCFF146NEP","Homo_sapiens","liver"
"ENCFF146ZCO","Mus_musculus","liver"
"ENCFF148WZE","Mus_musculus","kidney"
"ENCFF149IVU","Mus_musculus","stomach"
"ENCFF149LHJ","Mus_musculus","kidney"
"ENCFF150BVC","Mus_musculus","lung"
"ENCFF152PJC","Mus_musculus","liver"
"ENCFF152WBR","Mus_musculus","liver"
"ENCFF153TGZ","Mus_musculus","kidney"
"ENCFF154GXJ","Mus_musculus","kidney"
"ENCFF155RBY","Mus_musculus","lung"
"ENCFF158HGF","Mus_musculus","stomach"
"ENCFF159HYY","Mus_musculus","liver"
"ENCFF160VHY","Homo_sapiens","cerebellum"
"ENCFF161CWM","Homo_sapiens","lung"
"ENCFF163CIG","Mus_musculus","kidney"
"ENCFF163YZG","Mus_musculus","liver"
"ENCFF164IXK","Mus_musculus","liver"
"ENCFF164PYL","Mus_musculus","lung"
"ENCFF167XFW","Homo_sapiens","kidney"
"ENCFF168MUO","Mus_musculus","kidney"
"ENCFF168WUC","Mus_musculus","liver"
"ENCFF169TCC","Mus_musculus","liver"
"ENCFF169UCZ","Homo_sapiens","stomach"
"ENCFF171RXE","Mus_musculus","kidney"
"ENCFF172FNI","Mus_musculus","stomach"
"ENCFF172ZYN","Mus_musculus","liver"
"ENCFF176IZG","Mus_musculus","liver"
"ENCFF176UUW","Mus_musculus","stomach"
"ENCFF179ZMB","Mus_musculus","stomach"
"ENCFF183HKJ","Mus_musculus","liver"
"ENCFF183ZJB","Mus_musculus","stomach"
"ENCFF186FUQ","Homo_sapiens","lung"
"ENCFF187APF","Mus_musculus","liver"
"ENCFF187MRS","Mus_musculus","kidney"
"ENCFF187TFB","Mus_musculus","cerebellum"
"ENCFF188EFQ","Mus_musculus","liver"
"ENCFF192JLE","Mus_musculus","liver"
"ENCFF194AWB","Mus_musculus","stomach"
"ENCFF195YSJ","Mus_musculus","stomach"
"ENCFF196ERT","Homo_sapiens","kidney"
"ENCFF196PJB","Mus_musculus","kidney"
"ENCFF197LYV","Mus_musculus","liver"
"ENCFF198QIW","Homo_sapiens","lung"
"ENCFF199LFB","Mus_musculus","liver"
"ENCFF199QEJ","Mus_musculus","lung"
"ENCFF200ZJO","Homo_sapiens","liver"
"ENCFF201HYP","Mus_musculus","stomach"
"ENCFF202VQC","Mus_musculus","kidney"
"ENCFF203DOC","Mus_musculus","lung"
"ENCFF203LPK","Mus_musculus","kidney"
"ENCFF204EVA","Mus_musculus","lung"
"ENCFF205KMP","Mus_musculus","kidney"
"ENCFF208ZFY","Mus_musculus","liver"
"ENCFF209DQR","Mus_musculus","lung"
"ENCFF210HIS","Homo_sapiens","lung"
"ENCFF210SKW","Mus_musculus","lung"
"ENCFF211CYF","Mus_musculus","liver"
"ENCFF211VPG","Mus_musculus","stomach"
"ENCFF212RVS","Mus_musculus","kidney"
"ENCFF213RCP","Mus_musculus","liver"
"ENCFF215ATB","Mus_musculus","liver"
"ENCFF215SXR","Mus_musculus","liver"
"ENCFF219LIH","Mus_musculus","kidney"
"ENCFF220BEC","Mus_musculus","stomach"
"ENCFF222FJN","Mus_musculus","kidney"
"ENCFF224LMA","Mus_musculus","lung"
"ENCFF224TAO","Mus_musculus","lung"
"ENCFF225OWQ","Mus_musculus","liver"
"ENCFF226ARD","Mus_musculus","stomach"
"ENCFF227LZB","Mus_musculus","liver"
"ENCFF230SYM","Homo_sapiens","lung"
"ENCFF232DPD","Homo_sapiens","cerebellum"
"ENCFF232WSN","Mus_musculus","liver"
"ENCFF235TUG","Mus_musculus","stomach"
"ENCFF235USZ","Mus_musculus","kidney"
"ENCFF238AZB","Mus_musculus","stomach"
"ENCFF238HFW","Homo_sapiens","lung"
"ENCFF239YXI","Mus_musculus","stomach"
"ENCFF241BAL","Mus_musculus","liver"
"ENCFF241EXE","Homo_sapiens","stomach"
"ENCFF241PZJ","Mus_musculus","liver"
"ENCFF242NIK","Mus_musculus","liver"
"ENCFF243ROW","Mus_musculus","liver"
"ENCFF244BWB","Mus_musculus","lung"
"ENCFF244DRQ","Homo_sapiens","stomach"
"ENCFF246HFB","Mus_musculus","kidney"
"ENCFF247NDZ","Mus_musculus","liver"
"ENCFF248TEI","Mus_musculus","stomach"
"ENCFF248THY","Mus_musculus","lung"
