Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR813CKU	ENCFF386HEY		urinary bladder	Homo sapiens
ENCSR690LVC	ENCFF232KUW		urinary bladder	Mus musculus
ENCSR000EIK	ENCFF400QKK		frontal cortex	Homo sapiens
ENCSR000EIY	ENCFF635VUD		frontal cortex	Homo sapiens
ENCSR193OYD	ENCFF301NHA		frontal cortex	Mus musculus
ENCSR338GYD	ENCFF642OMY		frontal cortex	Mus musculus
ENCSR196VDE	ENCFF175IJC		embryonic facial prominence	Mus musculus
ENCSR435NHO	ENCFF169ISM		embryonic facial prominence	Homo sapiens
ENCSR053ZKP	ENCFF669RIT		adrenal gland	Homo sapiens
ENCSR060BFU	ENCFF949ZRW		adrenal gland	Homo sapiens
ENCSR080PZL	ENCFF230LFX		adrenal gland	Homo sapiens
ENCSR259GYP	ENCFF558JPT		adrenal gland	Homo sapiens
ENCSR277KRY	ENCFF111KHO		adrenal gland	Homo sapiens
ENCSR325FWM	ENCFF071WCJ		adrenal gland	Homo sapiens
ENCSR419MZH	ENCFF101DAL		adrenal gland	Homo sapiens
ENCSR458AOS	ENCFF742MRZ		adrenal gland	Homo sapiens
ENCSR541JMK	ENCFF559POI		adrenal gland	Homo sapiens
ENCSR597NVK	ENCFF745NET		adrenal gland	Homo sapiens
ENCSR696XSJ	ENCFF420WQQ		adrenal gland	Homo sapiens
ENCSR728BAD	ENCFF659HIW		adrenal gland	Homo sapiens
ENCSR856QJX	ENCFF744JJO		adrenal gland	Homo sapiens
ENCSR866RCY	ENCFF522YCT		adrenal gland	Homo sapiens
ENCSR962VJO	ENCFF715QGZ		adrenal gland	Homo sapiens
ENCSR204WCY	ENCFF648VOW		adrenal gland	Mus musculus
ENCSR205UJK	ENCFF548SLA		adrenal gland	Mus musculus
ENCSR365LKY	ENCFF493LZI		adrenal gland	Mus musculus
ENCSR385MRA	ENCFF565BPK		adrenal gland	Mus musculus
ENCSR406JCQ	ENCFF536YDE		adrenal gland	Mus musculus
ENCSR428CWD	ENCFF813CNE		adrenal gland	Mus musculus
ENCSR455VIA	ENCFF031QJO		adrenal gland	Mus musculus
ENCSR551FWJ	ENCFF466OYU		adrenal gland	Mus musculus
ENCSR655MEK	ENCFF665JAC		adrenal gland	Mus musculus
ENCSR667KPL	ENCFF311FMI		adrenal gland	Mus musculus
ENCSR756AFB	ENCFF947SPA		adrenal gland	Mus musculus
ENCSR822RKU	ENCFF688UXH		adrenal gland	Mus musculus
ENCSR831ITR	ENCFF173WFA		adrenal gland	Mus musculus
ENCSR840HMW	ENCFF776XAF		adrenal gland	Mus musculus
ENCSR923UKN	ENCFF330EGW		adrenal gland	Mus musculus
ENCSR000EIJ	ENCFF109NJY		cerebellum	Homo sapiens
ENCSR000EJQ	ENCFF326DYD		heart	Homo sapiens
ENCSR006IJP	ENCFF266NXE		lung	Homo sapiens
ENCSR026EOM	ENCFF291KDT		brain	Homo sapiens
ENCSR064GBK	ENCFF302OBA		heart	Homo sapiens
ENCSR066WZJ	ENCFF723TSB		kidney	Homo sapiens
ENCSR076YBB	ENCFF778XBV		lung	Homo sapiens
ENCSR082JCE	ENCFF410WHC		kidney	Homo sapiens
ENCSR095GWE	ENCFF401IRH		stomach	Homo sapiens
