2025-07-31 19:28:32.329255	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&files.file_type=bed+narrowPeak&biosample_ontology.classification=tissue&assay_title=DNase-seq&biosample_ontology.term_name=heart&biosample_ontology.term_name=kidney&biosample_ontology.term_name=adrenal+gland&biosample_ontology.term_name=lung&biosample_ontology.term_name=liver&biosample_ontology.term_name=thymus&biosample_ontology.term_name=cerebellum&biosample_ontology.term_name=stomach&biosample_ontology.term_name=spleen&biosample_ontology.term_name=brain&biosample_ontology.term_name=large+intestine&biosample_ontology.term_name=ovary&biosample_ontology.term_name=frontal+cortex&biosample_ontology.term_name=urinary+bladder&biosample_ontology.term_name=retina&biosample_ontology.term_name=testis&biosample_ontology.term_name=limb&biosample_ontology.term_name=midbrain&biosample_ontology.term_name=embryonic+facial+prominence&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR840HMW/	ENCSR840HMW	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J adrenal gland tissue female postnatal (4 days)	adrenal gland	GEO:GSE188075		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF506FNS/,/files/ENCFF209LLF/,/files/ENCFF428VHE/,/files/ENCFF031IVG/,/files/ENCFF767JAJ/,/files/ENCFF164JYG/,/files/ENCFF957PEB/,/files/ENCFF437TKY/,/files/ENCFF810ITI/,/files/ENCFF466WBZ/,/files/ENCFF267GLQ/,/files/ENCFF019CXR/,/files/ENCFF394MIO/,/files/ENCFF287PMM/,/files/ENCFF138PDS/,/files/ENCFF378ZRV/,/files/ENCFF939DNY/,/files/ENCFF359SWL/,/files/ENCFF148IJG/,/files/ENCFF213XYL/,/files/ENCFF370ELG/,/files/ENCFF534XKZ/,/files/ENCFF485JCZ/,/files/ENCFF912RMD/,/files/ENCFF070AMN/,/files/ENCFF674IBB/,/files/ENCFF170MJN/,/files/ENCFF064TQL/,/files/ENCFF731HYV/,/files/ENCFF569YQQ/,/files/ENCFF934ESX/,/files/ENCFF776XAF/,/files/ENCFF906MNI/,/files/ENCFF389JKE/	/organism-development-series/ENCSR024YSD/	ENCBS071VBH,ENCBS376DPA	1,2	1		Mus musculus	postnatal	4 days												/replicates/f03d7e2e-63fe-47ac-a53b-97baf401b365/,/replicates/0b3ef97c-6cec-47b2-b617-f3498290bdd4/				
/experiments/ENCSR788KLG/	ENCSR788KLG	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J kidney tissue female postnatal (36 days)	kidney	GEO:GSE215736		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF595PLX/,/files/ENCFF983IWU/,/files/ENCFF373CFF/,/files/ENCFF315YZW/,/files/ENCFF634MWI/,/files/ENCFF045ZNG/,/files/ENCFF703WGJ/,/files/ENCFF957JDD/,/files/ENCFF770SGP/,/files/ENCFF878HQW/,/files/ENCFF232THD/,/files/ENCFF914WVD/,/files/ENCFF783HQC/,/files/ENCFF003WZF/,/files/ENCFF687OXI/,/files/ENCFF797ETT/,/files/ENCFF843RGJ/,/files/ENCFF260SRL/,/files/ENCFF072YHF/,/files/ENCFF785VXT/,/files/ENCFF257HQS/,/files/ENCFF612ZJD/,/files/ENCFF618WTO/,/files/ENCFF734ZPG/,/files/ENCFF975DLK/,/files/ENCFF178MUM/,/files/ENCFF039RFC/,/files/ENCFF867FAD/,/files/ENCFF163SPN/,/files/ENCFF419EOR/,/files/ENCFF826RWW/,/files/ENCFF830NBK/,/files/ENCFF451IZL/,/files/ENCFF887IAU/,/files/ENCFF442ZWP/,/files/ENCFF761RBV/	/organism-development-series/ENCSR192PRM/	ENCBS128RPN,ENCBS862ZPS	1,2	1		Mus musculus	postnatal	36 days												/replicates/cdb8643d-9a4b-4eb8-b410-24ea3d0ec346/,/replicates/ac2c0aef-526b-4da4-8a43-d8b7b9d94a70/				
/experiments/ENCSR088WAL/	ENCSR088WAL	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J cerebellum tissue female postnatal (4 days)	cerebellum	GEO:GSE215551		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF729FUE/,/files/ENCFF912TDK/,/files/ENCFF185ZBG/,/files/ENCFF929FNI/,/files/ENCFF441BFO/,/files/ENCFF923DIO/,/files/ENCFF879CCE/,/files/ENCFF594ZBM/,/files/ENCFF147VFS/,/files/ENCFF471GIA/,/files/ENCFF055MEQ/,/files/ENCFF079BPB/,/files/ENCFF071EZE/,/files/ENCFF252CJR/,/files/ENCFF391QWD/,/files/ENCFF770FUN/,/files/ENCFF701BUC/,/files/ENCFF050GVV/	/organism-development-series/ENCSR738DAJ/	ENCBS242ZYV	1	1		Mus musculus	postnatal	4 days												/replicates/eca4ec15-900a-4001-be1f-58a7fdaf3635/				
/experiments/ENCSR181OOF/	ENCSR181OOF	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J cerebellum tissue male postnatal (4 days)	cerebellum	GEO:GSE215663		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF523DAE/,/files/ENCFF059LTL/,/files/ENCFF005OMB/,/files/ENCFF555BRN/,/files/ENCFF369TUT/,/files/ENCFF701KIQ/,/files/ENCFF520KZN/,/files/ENCFF015STO/,/files/ENCFF434ZQF/,/files/ENCFF665WOJ/,/files/ENCFF054XHO/,/files/ENCFF325TSX/,/files/ENCFF150ZAR/,/files/ENCFF178CPN/,/files/ENCFF337RMI/,/files/ENCFF162UIL/,/files/ENCFF217NSW/,/files/ENCFF039THB/,/files/ENCFF796UUR/,/files/ENCFF928JNH/,/files/ENCFF421ZJG/,/files/ENCFF065OAU/,/files/ENCFF576LAE/,/files/ENCFF843ETM/,/files/ENCFF281UKR/,/files/ENCFF313WPW/,/files/ENCFF010BRJ/,/files/ENCFF112FFZ/,/files/ENCFF964RRK/,/files/ENCFF390NPI/,/files/ENCFF173ULQ/,/files/ENCFF881NCQ/,/files/ENCFF345WGQ/,/files/ENCFF604RBT/	/organism-development-series/ENCSR610HIU/	ENCBS716FWV,ENCBS561TMO	1,2	1		Mus musculus	postnatal	4 days												/replicates/4ff3f683-db7c-462a-84e6-0f930fea82e0/,/replicates/2b644b66-6651-4b0c-93c3-fb90152db2e7/				
/experiments/ENCSR428CWD/	ENCSR428CWD	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J adrenal gland tissue male postnatal (25 days)	adrenal gland	GEO:GSE187596		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF707ASQ/,/files/ENCFF629RZD/,/files/ENCFF873WFA/,/files/ENCFF027AMD/,/files/ENCFF396UHX/,/files/ENCFF508IBD/,/files/ENCFF846YUI/,/files/ENCFF244QID/,/files/ENCFF331XBB/,/files/ENCFF776POX/,/files/ENCFF203JYG/,/files/ENCFF118XXJ/,/files/ENCFF308TGH/,/files/ENCFF911WVX/,/files/ENCFF027BRJ/,/files/ENCFF186QOW/,/files/ENCFF611EXX/,/files/ENCFF771WNK/,/files/ENCFF285ZXG/,/files/ENCFF274VET/,/files/ENCFF540UPJ/,/files/ENCFF751LMZ/,/files/ENCFF252ZLT/,/files/ENCFF953OKY/,/files/ENCFF597BNV/,/files/ENCFF164IMW/,/files/ENCFF879CWW/,/files/ENCFF582CHG/,/files/ENCFF813CNE/,/files/ENCFF480LHB/,/files/ENCFF772DOI/,/files/ENCFF186DZM/	/organism-development-series/ENCSR759JVO/	ENCBS906QIR,ENCBS747FLY	1,2	1		Mus musculus	postnatal	25 days												/replicates/89810a96-4e13-46d4-9cbe-332ceeea9abf/,/replicates/05a108a2-6801-45c5-9b29-61c58a16de5a/				
/experiments/ENCSR205UJK/	ENCSR205UJK	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J adrenal gland tissue male postnatal (14 days)	adrenal gland	GEO:GSE187341		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF163HUK/,/files/ENCFF741FMO/,/files/ENCFF893ITV/,/files/ENCFF475GPP/,/files/ENCFF907RIO/,/files/ENCFF649OSC/,/files/ENCFF221RTS/,/files/ENCFF318JHB/,/files/ENCFF837XVF/,/files/ENCFF115HOC/,/files/ENCFF799HMT/,/files/ENCFF144RMZ/,/files/ENCFF338GIK/,/files/ENCFF743VBS/,/files/ENCFF108NAU/,/files/ENCFF123KSX/,/files/ENCFF226VAS/,/files/ENCFF430EBU/,/files/ENCFF745ALG/,/files/ENCFF060LNF/,/files/ENCFF865MIL/,/files/ENCFF547GHJ/,/files/ENCFF958AOZ/,/files/ENCFF378AMN/,/files/ENCFF953MDP/,/files/ENCFF200PNG/,/files/ENCFF246EIV/,/files/ENCFF522IBK/,/files/ENCFF443ZVU/,/files/ENCFF311TWN/,/files/ENCFF084DVZ/,/files/ENCFF937FWN/,/files/ENCFF554LYS/,/files/ENCFF548SLA/	/organism-development-series/ENCSR759JVO/	ENCBS578KCV,ENCBS705PHY	2,1	1		Mus musculus	postnatal	14 days												/replicates/92df1dc9-fdac-406e-9c28-d74d2b8a0bd3/,/replicates/ee3cc045-7878-43b4-9701-45527924b12a/				
/experiments/ENCSR831ITR/	ENCSR831ITR	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J adrenal gland tissue male postnatal (10 days)	adrenal gland	GEO:GSE188060		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF273TDC/,/files/ENCFF110GMC/,/files/ENCFF433MKZ/,/files/ENCFF945EIV/,/files/ENCFF832WUV/,/files/ENCFF484LVF/,/files/ENCFF827FOV/,/files/ENCFF712FCY/,/files/ENCFF535QFQ/,/files/ENCFF912JZN/,/files/ENCFF083JXE/,/files/ENCFF895NQH/,/files/ENCFF270UQH/,/files/ENCFF907YHH/,/files/ENCFF153HSG/,/files/ENCFF713KGQ/,/files/ENCFF270RPK/,/files/ENCFF198EKE/,/files/ENCFF259QEM/,/files/ENCFF265VIV/,/files/ENCFF376LAT/,/files/ENCFF885GOY/,/files/ENCFF759ZVC/,/files/ENCFF173WFA/,/files/ENCFF908UOH/,/files/ENCFF967ILZ/,/files/ENCFF224SRT/,/files/ENCFF209RZN/,/files/ENCFF200FNG/,/files/ENCFF046LVB/,/files/ENCFF217NDU/,/files/ENCFF328XIU/,/files/ENCFF634ORI/,/files/ENCFF251ODL/	/organism-development-series/ENCSR759JVO/	ENCBS159AUA,ENCBS971MVA	1,2	1		Mus musculus	postnatal	10 days												/replicates/3dc0588e-9884-4a03-9835-27e3c554ba11/,/replicates/9972a47c-67e2-4444-b681-a64abf05a575/				
/experiments/ENCSR837TJD/	ENCSR837TJD	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J adrenal gland tissue female postnatal (14 days)	adrenal gland	GEO:GSE188067		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF414QLH/,/files/ENCFF922LLJ/,/files/ENCFF981QLX/,/files/ENCFF212QIV/,/files/ENCFF972QKT/,/files/ENCFF129ECG/,/files/ENCFF710RIP/,/files/ENCFF650LSQ/,/files/ENCFF884BFN/,/files/ENCFF084PRZ/,/files/ENCFF088JAO/,/files/ENCFF860ETI/,/files/ENCFF433NAX/,/files/ENCFF424VEY/,/files/ENCFF957HLI/,/files/ENCFF152OGL/,/files/ENCFF227ZXW/,/files/ENCFF956SBC/,/files/ENCFF941UUI/,/files/ENCFF973AXD/,/files/ENCFF346ZVO/,/files/ENCFF106WKK/,/files/ENCFF616GUR/,/files/ENCFF604DBA/,/files/ENCFF862NVI/,/files/ENCFF217BZO/,/files/ENCFF091ZWT/,/files/ENCFF169TBK/,/files/ENCFF809FLI/,/files/ENCFF260KTF/,/files/ENCFF315QTL/,/files/ENCFF286DPL/	/organism-development-series/ENCSR024YSD/	ENCBS713MNY,ENCBS010HTX	1,2	1		Mus musculus	postnatal	14 days												/replicates/7e1c1dbf-98ce-4fab-ab8f-8b84b31721f6/,/replicates/13130c77-ea63-4bce-95f8-d7a85446a9f4/				
/experiments/ENCSR026MFT/	ENCSR026MFT	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J cerebellum tissue male postnatal (14 days)	cerebellum	GEO:GSE187131		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF673XPY/,/files/ENCFF718ABU/,/files/ENCFF230LZH/,/files/ENCFF823HOE/,/files/ENCFF048ZXS/,/files/ENCFF850DNE/,/files/ENCFF799LPZ/,/files/ENCFF125TYI/,/files/ENCFF411SFC/,/files/ENCFF128JUE/,/files/ENCFF869OVX/,/files/ENCFF140XBM/,/files/ENCFF829PAI/,/files/ENCFF675ZML/,/files/ENCFF285XTZ/,/files/ENCFF628LSH/,/files/ENCFF421FLS/,/files/ENCFF397BHT/,/files/ENCFF247BYO/,/files/ENCFF867WLH/,/files/ENCFF899YNB/,/files/ENCFF024WDL/,/files/ENCFF184WFK/,/files/ENCFF775IME/,/files/ENCFF959KSM/,/files/ENCFF216CJO/,/files/ENCFF106YSE/,/files/ENCFF500IZB/,/files/ENCFF974RDI/,/files/ENCFF232ORL/,/files/ENCFF410YJU/,/files/ENCFF783OLW/,/files/ENCFF288WNL/,/files/ENCFF265JOA/,/files/ENCFF091OLN/,/files/ENCFF910YJK/	/organism-development-series/ENCSR610HIU/	ENCBS770WQZ,ENCBS264XMR	2,1	1		Mus musculus	postnatal	14 days												/replicates/f38ee0df-1609-42a9-99a4-772bd477b9a7/,/replicates/adbb40dc-a0ec-4438-8c05-86916bf86821/				
/experiments/ENCSR678NQS/	ENCSR678NQS	DNase-seq	DNase-seq	tissue				Mus musculus strain B6CASTF1/J cerebellum tissue male postnatal (25 days)	cerebellum	GEO:GSE187621		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF442XGK/,/files/ENCFF155YWZ/,/files/ENCFF087FKQ/,/files/ENCFF151CUB/,/files/ENCFF695HTB/,/files/ENCFF257YEV/,/files/ENCFF531XJU/,/files/ENCFF466VHO/,/files/ENCFF786UDI/,/files/ENCFF550HFS/,/files/ENCFF632ZQO/,/files/ENCFF096QDZ/,/files/ENCFF868LYP/,/files/ENCFF516KCV/,/files/ENCFF410UUW/,/files/ENCFF285IYM/,/files/ENCFF988IQK/,/files/ENCFF879UNJ/,/files/ENCFF240ERL/,/files/ENCFF621VHS/,/files/ENCFF117VBI/,/files/ENCFF278EYB/,/files/ENCFF305CDK/,/files/ENCFF064CSV/,/files/ENCFF634CWK/,/files/ENCFF980SIW/,/files/ENCFF107AFI/,/files/ENCFF638JVL/,/files/ENCFF979CMS/,/files/ENCFF108WII/,/files/ENCFF361WZX/,/files/ENCFF016FGL/,/files/ENCFF762YKV/,/files/ENCFF014FGX/,/files/ENCFF916GAN/,/files/ENCFF626ORV/	/organism-development-series/ENCSR610HIU/	ENCBS452UBM,ENCBS187HXC	1,2	1		Mus musculus	postnatal	25 days												/replicates/6b8a396b-69dc-45d3-b22b-c4a8d375b735/,/replicates/25906ab6-f05b-4f14-8604-30843415b7d5/				
