Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR840HMW	ENCFF776XAF		adrenal gland	Mus musculus
ENCSR788KLG	ENCFF761RBV		kidney	Mus musculus
ENCSR088WAL	ENCFF147VFS		cerebellum	Mus musculus
ENCSR181OOF	ENCFF843ETM		cerebellum	Mus musculus
ENCSR428CWD	ENCFF813CNE		adrenal gland	Mus musculus
ENCSR205UJK	ENCFF548SLA		adrenal gland	Mus musculus
ENCSR831ITR	ENCFF173WFA		adrenal gland	Mus musculus
ENCSR837TJD	ENCFF809FLI		adrenal gland	Mus musculus
ENCSR026MFT	ENCFF091OLN		cerebellum	Mus musculus
ENCSR678NQS	ENCFF278EYB		cerebellum	Mus musculus
ENCSR240XYH	ENCFF732BAI		cerebellum	Mus musculus
ENCSR789AYI	ENCFF241MSI		liver	Mus musculus
ENCSR362ZRQ	ENCFF470EDQ		ovary	Mus musculus
ENCSR061TLH	ENCFF956YLQ		frontal cortex	Mus musculus
ENCSR325RZJ	ENCFF633XHC		frontal cortex	Mus musculus
ENCSR193OYD	ENCFF301NHA		frontal cortex	Mus musculus
ENCSR677CPE	ENCFF132BTX		heart	Mus musculus
ENCSR315TVO	ENCFF315UOF		thymus	Mus musculus
ENCSR293SQC	ENCFF260VYP		lung	Mus musculus
ENCSR591ILA	ENCFF023FHV		ovary	Mus musculus
ENCSR068MCK	ENCFF094GSY		thymus	Mus musculus
ENCSR059VAQ	ENCFF677RKU		lung	Mus musculus
ENCSR000CNV	ENCFF956EUO		retina	Mus musculus
ENCSR000CNJ	ENCFF851ETD		liver	Mus musculus
ENCSR260SFQ	ENCFF371RQS		liver	Mus musculus
ENCSR667KPL	ENCFF311FMI		adrenal gland	Mus musculus
ENCSR671GDA	ENCFF526TKA		cerebellum	Mus musculus
ENCSR502NYH	ENCFF930WLW		cerebellum	Mus musculus
ENCSR336MBU	ENCFF591JJJ		cerebellum	Mus musculus
ENCSR639CNY	ENCFF564BPM		cerebellum	Mus musculus
ENCSR551FWJ	ENCFF466OYU		adrenal gland	Mus musculus
ENCSR000CNL	ENCFF578VRG		liver	Mus musculus
ENCSR000COB	ENCFF266KGB		thymus	Mus musculus
ENCSR000COG	ENCFF807DSU		brain	Mus musculus
ENCSR338GYD	ENCFF642OMY		frontal cortex	Mus musculus
ENCSR597QYA	ENCFF359GEV		spleen	Mus musculus
ENCSR687OIL	ENCFF446WEA		frontal cortex	Mus musculus
ENCSR441MWY	ENCFF880CNF		heart	Mus musculus
ENCSR087SUF	ENCFF410IVK		ovary	Mus musculus
ENCSR211TTY	ENCFF703ULV		lung	Mus musculus
ENCSR427LHI	ENCFF421MWI		lung	Mus musculus
ENCSR147AIN	ENCFF475OMI		heart	Mus musculus
ENCSR736DMJ	ENCFF300YIM		spleen	Mus musculus
ENCSR655MEK	ENCFF665JAC		adrenal gland	Mus musculus
ENCSR039FQF	ENCFF955CWU		spleen	Mus musculus
ENCSR585JUM	ENCFF090XEB		spleen	Mus musculus
ENCSR804CGV	ENCFF541TUJ		heart	Mus musculus
ENCSR756QHG	ENCFF410TOW		lung	Mus musculus
ENCSR671GNH	ENCFF376NPU		frontal cortex	Mus musculus
ENCSR335MHR	ENCFF781VCS		cerebellum	Mus musculus
ENCSR146KDZ	ENCFF624QTT		liver	Mus musculus
ENCSR800YHA	ENCFF575EQF		heart	Mus musculus
ENCSR613LJB	ENCFF122DJK		heart	Mus musculus
ENCSR218AFD	ENCFF333JJF		kidney	Mus musculus
ENCSR961KOD	ENCFF365SZO		liver	Mus musculus
ENCSR944NVO	ENCFF194HUA		heart	Mus musculus
ENCSR231NBX	ENCFF290NTU		heart	Mus musculus
ENCSR809OXS	ENCFF919UBM		liver	Mus musculus
ENCSR541RQH	ENCFF773PRS		liver	Mus musculus
ENCSR934ECT	ENCFF247LYW		cerebellum	Mus musculus
ENCSR887EBS	ENCFF770GLC		liver	Mus musculus
ENCSR498GAH	ENCFF330STV		liver	Mus musculus
ENCSR087PCD	ENCFF744KST		spleen	Mus musculus
ENCSR018FXD	ENCFF353CVJ		kidney	Mus musculus
ENCSR352FCL	ENCFF473DRI		kidney	Mus musculus
ENCSR541MWB	ENCFF349UID		heart	Mus musculus
ENCSR408JZW	ENCFF030LSS		lung	Mus musculus
ENCSR443DSO	ENCFF728ZKQ		testis	Mus musculus
ENCSR373ZJT	ENCFF197GXG		kidney	Mus musculus
ENCSR280ZEI	ENCFF095SNJ		frontal cortex	Mus musculus
ENCSR049ACM	ENCFF988JKK		thymus	Mus musculus
ENCSR959HKR	ENCFF771TEQ		embryonic facial prominence	Mus musculus
ENCSR000CNY	ENCFF343KXE		spleen	Mus musculus
ENCSR232ELD	ENCFF482KHA		ovary	Mus musculus
ENCSR876YAF	ENCFF437EVO		spleen	Mus musculus
ENCSR636NXY	ENCFF008TLV		limb	Mus musculus
ENCSR090RLB	ENCFF441YOR		thymus	Mus musculus
ENCSR322AIL	ENCFF979ULB		thymus	Mus musculus
ENCSR935RRY	ENCFF486ARJ		thymus	Mus musculus
ENCSR021YHN	ENCFF244MNR		adrenal gland	Mus musculus
ENCSR000EIY	ENCFF635VUD		frontal cortex	Homo sapiens
ENCSR000CNW	ENCFF233FQB		retina	Mus musculus
ENCSR679IFH	ENCFF686XTC		spleen	Homo sapiens
ENCSR000CMO	ENCFF584ERS		cerebellum	Mus musculus
ENCSR756AFB	ENCFF947SPA		adrenal gland	Mus musculus
ENCSR000CNU	ENCFF951VJK		retina	Mus musculus
ENCSR000EIK	ENCFF400QKK		frontal cortex	Homo sapiens
ENCSR000CNI	ENCFF542LZZ		liver	Mus musculus
ENCSR649KBB	ENCFF675XNL		brain	Homo sapiens
ENCSR204WCY	ENCFF648VOW		adrenal gland	Mus musculus
ENCSR575YLW	ENCFF801GFP		lung	Mus musculus
ENCSR730MYK	ENCFF438CDO		thymus	Mus musculus
ENCSR023EDS	ENCFF085OYZ		kidney	Mus musculus
ENCSR664IBN	ENCFF655TUY		kidney	Mus musculus
ENCSR488VEQ	ENCFF470FLX		retina	Mus musculus
ENCSR385MRA	ENCFF565BPK		adrenal gland	Mus musculus
ENCSR453OSR	ENCFF518WVZ		urinary bladder	Mus musculus
ENCSR000EIJ	ENCFF109NJY		cerebellum	Homo sapiens
ENCSR885XDO	ENCFF866CCO		urinary bladder	Mus musculus
ENCSR356UVK	ENCFF440ZNO		frontal cortex	Mus musculus
ENCSR611CEJ	ENCFF771LRH		frontal cortex	Mus musculus
ENCSR193XFZ	ENCFF351FAX		urinary bladder	Mus musculus
ENCSR000CNH	ENCFF104HKW		large intestine	Mus musculus
ENCSR060ALG	ENCFF249RHX		kidney	Mus musculus
ENCSR690LVC	ENCFF232KUW		urinary bladder	Mus musculus
ENCSR133BTF	ENCFF302HNH		thymus	Mus musculus
ENCSR794LIK	ENCFF944DKY		thymus	Mus musculus
ENCSR718NBH	ENCFF038ZLI		spleen	Mus musculus
ENCSR000CNG	ENCFF587XGH		kidney	Mus musculus
ENCSR097TGW	ENCFF873VLP		spleen	Mus musculus
ENCSR706HQD	ENCFF853RSP		kidney	Mus musculus
ENCSR102OZE	ENCFF567XCD		liver	Mus musculus
ENCSR448KDU	ENCFF914CUQ		cerebellum	Mus musculus
ENCSR632BLV	ENCFF626MMT		adrenal gland	Mus musculus
