Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR967BSF	ENCFF514GOP	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF696MBJ	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF420VKZ	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF512KCI	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF940BVB	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF068TWU	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF497KZB	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF615COT	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF705JBL	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF595MOH	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF809QZD	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF520RVL	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF516DOX	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF814JZI	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF357YPL	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF175VBV	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF038ATT	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF215HQE	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF121QGK	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF948KDP	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF905EFM	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF440ORC	CTCF	spleen	Homo sapiens
ENCSR967BSF	ENCFF458IFM	CTCF	spleen	Homo sapiens
ENCSR961SKY	ENCFF915AIE	CTCF	spleen	Homo sapiens
ENCSR961SKY	ENCFF044UYK	CTCF	spleen	Homo sapiens
ENCSR961SKY	ENCFF551WGT	CTCF	spleen	Homo sapiens
ENCSR961SKY	ENCFF057QIL	CTCF	spleen	Homo sapiens
ENCSR961SKY	ENCFF345LVW	CTCF	spleen	Homo sapiens
ENCSR961SKY	ENCFF895YNG	CTCF	spleen	Homo sapiens
