species_code	common_name	scientific_name	ensembl_v73_assembly	ucsc_assembly	clade	h3k27ac_peak_url	h3k4me3_peak_url
hsa	human	Homo sapiens	GRCh37	hg19	primate	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/hsa-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/hsa-H3K4me3_replicated-peaks_macs
rheMac	rhesus macaque	Macaca mulatta	MMUL_1	rheMac2	primate	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/rheMac-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/rheMac-H3K4me3_replicated-peaks_macs
calJac	marmoset	Callithrix jacchus	C_jacchus3.2.1	calJac3	primate	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/calJac-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/calJac-H3K4me3_replicated-peaks_macs
Vervet	vervet	Chlorocebus sabaeus	ChlSab1.1	chlSab2	primate	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Vervet-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Vervet-H3K4me3_replicated-peaks_macs
tupBel	tree shrew	Tupaia belangeri	TUPBEL	tupBel1	scandentia	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/tupBel-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/tupBel-H3K4me3_replicated-peaks_macs
Mmus	mouse	Mus musculus	GRCm38	mm10	rodent	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Mmus-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Mmus-H3K4me3_replicated-peaks_macs
rn5	rat	Rattus norvegicus	Rnor_5.0	rn5	rodent	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/rn5-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/rn5-H3K4me3_replicated-peaks_macs
hetGla	naked mole rat	Heterocephalus glaber	HetGla_female_1.0	hetGla2	rodent	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/hetGla-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/hetGla-H3K4me3_replicated-peaks_macs
cavPor	guinea pig	Cavia porcellus	cavPor3	cavPor3	rodent	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/cavPor-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/cavPor-H3K4me3_replicated-peaks_macs
oryCun	rabbit	Oryctolagus cuniculus	oryCun2	oryCun2	lagomorph	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/oryCun-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/oryCun-H3K4me3_replicated-peaks_macs
canFam	dog	Canis familiaris	CanFam3.1	canFam3	carnivore	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/canFam-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/canFam-H3K4me3_replicated-peaks_macs
felCat	cat	Felis catus	Felis_catus_6.2	felCat5	carnivore	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/felCat-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/felCat-H3K4me3_replicated-peaks_macs
musFur	ferret	Mustela putorius furo	MusPutFur1.0	musFur1	carnivore	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/musFur-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/musFur-H3K4me3_replicated-peaks_macs
bosTau	cow	Bos taurus	UMD3.1	bosTau7	cetartiodactyl	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/bosTau-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/bosTau-H3K4me3_replicated-peaks_macs
susScr	pig	Sus scrofa	Sscrofa10.2	susScr3	cetartiodactyl	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/susScr-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/susScr-H3K4me3_replicated-peaks_macs
Balaeno	sei whale	Balaenoptera borealis	(Ensembl Pre)	—	cetartiodactyl	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Balaeno-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Balaeno-H3K4me3_replicated-peaks_macs
Delphinus	common dolphin	Delphinus delphis	(Ensembl Pre)	—	cetartiodactyl	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Delphinus-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Delphinus-H3K4me3_replicated-peaks_macs
Mesoplo	beaked whale	Mesoplodon bidens	(Ensembl Pre)	—	cetartiodactyl	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Mesoplo-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/Mesoplo-H3K4me3_replicated-peaks_macs
monDom	opossum	Monodelphis domestica	monDom5	monDom5	marsupial	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/monDom-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/monDom-H3K4me3_replicated-peaks_macs
sarHar	Tasmanian devil	Sarcophilus harrisii	DEVIL7.0	sarHar1	marsupial	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/sarHar-H3K27Ac_replicated-peaks_macs	https://www.ebi.ac.uk/biostudies/files/E-MTAB-2633/sarHar-H3K4me3_replicated-peaks_macs
