sample_id	species	tissue	mark	geo_series	geo_sample	sra_runs	reference	source
E095_H3K27ac	human	heart	H3K27ac	GSE16256	GSM1127115	SRR2173071	GRCh38	Roadmap2015
E066_H3K27ac	human	liver	H3K27ac	GSE16256	GSM1127068	SRR2172698	GRCh38	Roadmap2015
E096_H3K27ac	human	lung	H3K27ac	GSE16256	GSM1127116	SRR2173068	GRCh38	Roadmap2015
E067_H3K27ac	human	brain_angular	H3K27ac	GSE16256	GSM1127069	SRR2172802	GRCh38	Roadmap2015
E113_H3K27ac	human	spleen	H3K27ac	GSE16256	GSM1127132	SRR2172782	GRCh38	Roadmap2015
E109_H3K27ac	human	small_int	H3K27ac	GSE16256	GSM1127128	SRR2172772	GRCh38	Roadmap2015
E095_K4me3_H3K4me3	human	heart	H3K4me3	GSE16256	GSM1127114	SRR2173073	GRCh38	Roadmap2015
E066_K4me3_H3K4me3	human	liver	H3K4me3	GSE16256	GSM1127067	SRR2172679	GRCh38	Roadmap2015
mm_heart_H3K27ac	mouse	heart	H3K27ac	GSE49847	TODO		GRCm39	MouseENCODE_Yue2014
mm_liver_H3K27ac	mouse	liver	H3K27ac	GSE49847	TODO		GRCm39	MouseENCODE_Yue2014
mm_lung_H3K27ac	mouse	lung	H3K27ac	GSE49847	TODO		GRCm39	MouseENCODE_Yue2014
mm_brain_H3K27ac	mouse	brain	H3K27ac	GSE49847	TODO		GRCm39	MouseENCODE_Yue2014
mm_spleen_H3K27ac	mouse	spleen	H3K27ac	GSE49847	TODO		GRCm39	MouseENCODE_Yue2014
