sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR175ABH_H3K27ac,https://www.encodeproject.org/files/ENCFF972UMH/@@download/ENCFF972UMH.fastq.gz,,1,H3K27ac,INPUT_ENCSR597PTH,1
ENCSR175ABH_H3K27ac,https://www.encodeproject.org/files/ENCFF550GFW/@@download/ENCFF550GFW.fastq.gz,,1,H3K27ac,INPUT_ENCSR597PTH,1
ENCSR175ABH_H3K27ac,https://www.encodeproject.org/files/ENCFF713NIM/@@download/ENCFF713NIM.fastq.gz,,1,H3K27ac,INPUT_ENCSR597PTH,1
ENCSR175ABH_H3K27ac,https://www.encodeproject.org/files/ENCFF295JIQ/@@download/ENCFF295JIQ.fastq.gz,,1,H3K27ac,INPUT_ENCSR597PTH,1
ENCSR175ABH_H3K27ac,https://www.encodeproject.org/files/ENCFF267ZLF/@@download/ENCFF267ZLF.fastq.gz,,1,H3K27ac,INPUT_ENCSR597PTH,1
ENCSR175ABH_H3K27ac,https://www.encodeproject.org/files/ENCFF261ZFV/@@download/ENCFF261ZFV.fastq.gz,,1,H3K27ac,INPUT_ENCSR597PTH,1
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF094KFJ/@@download/ENCFF094KFJ.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF188MCT/@@download/ENCFF188MCT.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF504JIW/@@download/ENCFF504JIW.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF530YFA/@@download/ENCFF530YFA.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF576EBV/@@download/ENCFF576EBV.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF332EWJ/@@download/ENCFF332EWJ.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF642CPK/@@download/ENCFF642CPK.fastq.gz,,1,,,
INPUT_ENCSR597PTH,https://www.encodeproject.org/files/ENCFF466MYR/@@download/ENCFF466MYR.fastq.gz,,1,,,
ENCSR864OOO_H3K27ac,https://www.encodeproject.org/files/ENCFF065PGS/@@download/ENCFF065PGS.fastq.gz,,1,H3K27ac,INPUT_ENCSR309LQG,1
ENCSR864OOO_H3K27ac,https://www.encodeproject.org/files/ENCFF745TQU/@@download/ENCFF745TQU.fastq.gz,,1,H3K27ac,INPUT_ENCSR309LQG,1
ENCSR864OOO_H3K27ac,https://www.encodeproject.org/files/ENCFF150ULZ/@@download/ENCFF150ULZ.fastq.gz,,1,H3K27ac,INPUT_ENCSR309LQG,1
ENCSR864OOO_H3K27ac,https://www.encodeproject.org/files/ENCFF042WUZ/@@download/ENCFF042WUZ.fastq.gz,,1,H3K27ac,INPUT_ENCSR309LQG,1
ENCSR864OOO_H3K27ac,https://www.encodeproject.org/files/ENCFF904HAT/@@download/ENCFF904HAT.fastq.gz,,1,H3K27ac,INPUT_ENCSR309LQG,1
ENCSR864OOO_H3K27ac,https://www.encodeproject.org/files/ENCFF545LYP/@@download/ENCFF545LYP.fastq.gz,,1,H3K27ac,INPUT_ENCSR309LQG,1
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF797PAY/@@download/ENCFF797PAY.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF335WZK/@@download/ENCFF335WZK.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF031HMN/@@download/ENCFF031HMN.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF064BAT/@@download/ENCFF064BAT.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF580KNR/@@download/ENCFF580KNR.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF078EGS/@@download/ENCFF078EGS.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF077UKU/@@download/ENCFF077UKU.fastq.gz,,1,,,
INPUT_ENCSR309LQG,https://www.encodeproject.org/files/ENCFF747EAN/@@download/ENCFF747EAN.fastq.gz,,1,,,
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF652YCL/@@download/ENCFF652YCL.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF805WUH/@@download/ENCFF805WUH.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF711JFN/@@download/ENCFF711JFN.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF948DWM/@@download/ENCFF948DWM.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF173TGR/@@download/ENCFF173TGR.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF098KUK/@@download/ENCFF098KUK.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF057DCP/@@download/ENCFF057DCP.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
ENCSR954JMZ_H3K27ac,https://www.encodeproject.org/files/ENCFF145RDC/@@download/ENCFF145RDC.fastq.gz,,1,H3K27ac,INPUT_ENCSR750BQT,1
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF530UIH/@@download/ENCFF530UIH.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF834DHJ/@@download/ENCFF834DHJ.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF984SIC/@@download/ENCFF984SIC.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF230JMS/@@download/ENCFF230JMS.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF757XGL/@@download/ENCFF757XGL.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF496MPM/@@download/ENCFF496MPM.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF428IVR/@@download/ENCFF428IVR.fastq.gz,,1,,,
INPUT_ENCSR750BQT,https://www.encodeproject.org/files/ENCFF159GDE/@@download/ENCFF159GDE.fastq.gz,,1,,,
ENCSR554HDT_H3K27ac,https://www.encodeproject.org/files/ENCFF922DWE/@@download/ENCFF922DWE.fastq.gz,,1,H3K27ac,INPUT_ENCSR535VLV,1
ENCSR554HDT_H3K27ac,https://www.encodeproject.org/files/ENCFF173EVP/@@download/ENCFF173EVP.fastq.gz,,1,H3K27ac,INPUT_ENCSR535VLV,1
ENCSR554HDT_H3K27ac,https://www.encodeproject.org/files/ENCFF519OHO/@@download/ENCFF519OHO.fastq.gz,,1,H3K27ac,INPUT_ENCSR535VLV,1
ENCSR554HDT_H3K27ac,https://www.encodeproject.org/files/ENCFF268FFA/@@download/ENCFF268FFA.fastq.gz,,1,H3K27ac,INPUT_ENCSR535VLV,1
ENCSR554HDT_H3K27ac,https://www.encodeproject.org/files/ENCFF983CAE/@@download/ENCFF983CAE.fastq.gz,,1,H3K27ac,INPUT_ENCSR535VLV,1
ENCSR554HDT_H3K27ac,https://www.encodeproject.org/files/ENCFF882CDR/@@download/ENCFF882CDR.fastq.gz,,1,H3K27ac,INPUT_ENCSR535VLV,1
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF183SPP/@@download/ENCFF183SPP.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF089JHP/@@download/ENCFF089JHP.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF763JAU/@@download/ENCFF763JAU.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF581WZK/@@download/ENCFF581WZK.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF244ACQ/@@download/ENCFF244ACQ.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF475LOQ/@@download/ENCFF475LOQ.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF345SDB/@@download/ENCFF345SDB.fastq.gz,,1,,,
INPUT_ENCSR535VLV,https://www.encodeproject.org/files/ENCFF256OPU/@@download/ENCFF256OPU.fastq.gz,,1,,,
ENCSR436JNB_H3K27ac,https://www.encodeproject.org/files/ENCFF758SRN/@@download/ENCFF758SRN.fastq.gz,,1,H3K27ac,INPUT_ENCSR119AVG,1
ENCSR436JNB_H3K27ac,https://www.encodeproject.org/files/ENCFF689COG/@@download/ENCFF689COG.fastq.gz,,1,H3K27ac,INPUT_ENCSR119AVG,1
ENCSR436JNB_H3K27ac,https://www.encodeproject.org/files/ENCFF317IDE/@@download/ENCFF317IDE.fastq.gz,,1,H3K27ac,INPUT_ENCSR119AVG,1
ENCSR436JNB_H3K27ac,https://www.encodeproject.org/files/ENCFF010GVM/@@download/ENCFF010GVM.fastq.gz,,1,H3K27ac,INPUT_ENCSR119AVG,1
ENCSR436JNB_H3K27ac,https://www.encodeproject.org/files/ENCFF901VRJ/@@download/ENCFF901VRJ.fastq.gz,,1,H3K27ac,INPUT_ENCSR119AVG,1
ENCSR436JNB_H3K27ac,https://www.encodeproject.org/files/ENCFF091YBK/@@download/ENCFF091YBK.fastq.gz,,1,H3K27ac,INPUT_ENCSR119AVG,1
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF979RAP/@@download/ENCFF979RAP.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF643FSG/@@download/ENCFF643FSG.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF029ZXI/@@download/ENCFF029ZXI.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF650MAG/@@download/ENCFF650MAG.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF169NSD/@@download/ENCFF169NSD.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF284AIQ/@@download/ENCFF284AIQ.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF771DTY/@@download/ENCFF771DTY.fastq.gz,,1,,,
INPUT_ENCSR119AVG,https://www.encodeproject.org/files/ENCFF504BQS/@@download/ENCFF504BQS.fastq.gz,,1,,,
ENCSR543CPW_H3K27ac,https://www.encodeproject.org/files/ENCFF349RCJ/@@download/ENCFF349RCJ.fastq.gz,,1,H3K27ac,INPUT_ENCSR687YOP,1
ENCSR543CPW_H3K27ac,https://www.encodeproject.org/files/ENCFF684LMP/@@download/ENCFF684LMP.fastq.gz,,1,H3K27ac,INPUT_ENCSR687YOP,1
ENCSR543CPW_H3K27ac,https://www.encodeproject.org/files/ENCFF668PTO/@@download/ENCFF668PTO.fastq.gz,,1,H3K27ac,INPUT_ENCSR687YOP,1
INPUT_ENCSR687YOP,https://www.encodeproject.org/files/ENCFF224FXM/@@download/ENCFF224FXM.fastq.gz,,1,,,
ENCSR655XLM_H3K27ac,https://www.encodeproject.org/files/ENCFF308MVS/@@download/ENCFF308MVS.fastq.gz,,1,H3K27ac,INPUT_ENCSR461VPV,1
INPUT_ENCSR461VPV,https://www.encodeproject.org/files/ENCFF863QDS/@@download/ENCFF863QDS.fastq.gz,,1,,,
ENCSR136ZQZ_H3K27ac,https://www.encodeproject.org/files/ENCFF682TKX/@@download/ENCFF682TKX.fastq.gz,,1,H3K27ac,INPUT_ENCSR215WNN,1
