peak_type,cell,k,w,delta_ie_min,delta_ie_median,delta_ie_max,delta_ie_range,rank_best,rank_worst,all_seeds_separated
broad,k10_w10,10,10,0.07120637383028539,0.07121694682391999,0.07122343968617573,1.7065855890341375e-05,46,46,True
broad,k10_w15,10,15,0.08367914683771305,0.0838913835668591,0.08404501491504812,0.0003658680773350742,45,45,True
broad,k10_w20,10,20,0.08753490321775004,0.0875490872713276,0.08759161153671668,5.67083189666473e-05,44,44,True
broad,k10_w25,10,25,0.09173407917098353,0.09174446572044437,0.09177336681167525,3.928764069172086e-05,43,43,True
broad,k10_w30,10,30,0.09394426992805704,0.09399407592271547,0.09405960982696249,0.00011533989890544216,42,42,True
broad,k10_w50,10,50,0.09956124706742353,0.09957708609174054,0.09970422858334294,0.00014298151591940478,40,40,True
broad,k10_w75,10,75,0.09878857716178169,0.09891117957375561,0.09892581766031783,0.00013724049853613973,41,41,True
broad,k15_w15,15,15,0.5107536820496638,0.5109160130933043,0.5109189720164189,0.0001652899667551333,33,33,True
broad,k15_w20,15,20,0.5100362475763937,0.5101253801305494,0.5101526708232116,0.00011642324681793159,35,35,True
broad,k15_w25,15,25,0.5093157173173141,0.5093999237458079,0.5095756189334869,0.0002599016161728418,36,36,True
broad,k15_w30,15,30,0.5085968337207233,0.5086393941110489,0.5086693444994865,7.251077876324619e-05,37,37,True
broad,k15_w50,15,50,0.5064531984162788,0.5064613707479572,0.5066103062183678,0.000157107802088996,38,38,True
broad,k15_w75,15,75,0.5049373654800529,0.505012164956901,0.5050485815118972,0.00011121603184438555,39,39,True
broad,k20_w20,20,20,0.5589525762500663,0.5590127091274645,0.5591558423674602,0.00020326611739385214,1,1,True
broad,k20_w25,20,25,0.5579300011289869,0.5580243653338002,0.5581996800364192,0.0002696789074322359,2,2,True
broad,k20_w30,20,30,0.5571012716509336,0.5571037870752197,0.5572583997075682,0.00015712805663459228,3,3,True
broad,k20_w35,20,35,0.5562527771749555,0.5563447444095689,0.556484478030026,0.00023170085507051574,4,4,True
broad,k20_w40,20,40,0.5554068129536677,0.5554774479342579,0.5556392151488481,0.0002324021951803923,5,5,True
broad,k20_w50,20,50,0.5537847530382966,0.5539071042701362,0.553992534261271,0.0002077812229744902,6,6,True
broad,k20_w60,20,60,0.552493211477024,0.5526771656896907,0.5527969192320034,0.0003037077549793432,8,8,True
broad,k20_w75,20,75,0.5509375331256867,0.5512043311987941,0.5513035367348849,0.00036600360919814,10,10,True
broad,k25_w25,25,25,0.5532000658360778,0.5534441402758739,0.5535954369861149,0.00039537115003707157,7,7,True
broad,k25_w30,25,30,0.5520466159186865,0.5521167770174764,0.5522445950328587,0.0001979791141721865,9,9,True
broad,k25_w35,25,35,0.5507268078834936,0.5508689142814749,0.5509740229085074,0.00024721502501379167,11,11,True
broad,k25_w40,25,40,0.5496844655906351,0.5497292448082433,0.5498489632011088,0.0001644976104736573,12,12,True
broad,k25_w50,25,50,0.5477570986383812,0.5477685620352166,0.5478814900174194,0.0001243913790381912,13,13,True
broad,k25_w60,25,60,0.5460778986866346,0.546119541112024,0.5461512667789775,7.336809234292918e-05,14,14,True
broad,k25_w75,25,75,0.5439358443973159,0.5439796422066987,0.5440525437723811,0.00011669937506519901,17,17,True
broad,k30_w30,30,30,0.5456943735006219,0.5458669658373247,0.5458967813490722,0.00020240784845027004,15,15,True
broad,k30_w35,30,35,0.5443668417530998,0.5445807612346171,0.5446323399723161,0.0002654982192162869,16,16,True
broad,k30_w40,30,40,0.5431975255704619,0.543308067291725,0.5434738478887109,0.00027632231824903375,18,18,True
broad,k30_w50,30,50,0.540975049743485,0.5411126441542953,0.541141299294255,0.00016624955077004788,19,19,True
broad,k30_w60,30,60,0.5390736575911071,0.5391916099878881,0.5394108074113859,0.0003371498202787704,20,20,True
broad,k30_w75,30,75,0.5367735322871556,0.5368655203715242,0.5369565237135128,0.0001829914263571375,23,23,True
broad,k35_w35,35,35,0.5385016662015076,0.5386782264977907,0.5390112505734627,0.0005095843719550297,21,21,True
broad,k35_w40,35,40,0.5374972324841829,0.5376414876183064,0.5378272714852665,0.0003300390010836374,22,22,True
broad,k35_w50,35,50,0.5350792726613887,0.5351934990575418,0.5354245266932269,0.0003452540318382713,24,24,True
broad,k35_w60,35,60,0.5329915242013228,0.53305584996748,0.5331302903098484,0.0001387661085255898,25,25,True
broad,k35_w75,35,75,0.5302911129572705,0.5303421814841212,0.5305939269965532,0.0003028140392826728,27,27,True
broad,k40_w40,40,40,0.5311589141823865,0.5312443928970708,0.5313633589434388,0.00020444476105230258,26,26,True
broad,k40_w50,40,50,0.5289749601164231,0.5290015409608646,0.5290669593386609,9.1999222237793e-05,28,28,True
broad,k40_w60,40,60,0.5269787441547843,0.5270764696227362,0.5271996691898175,0.00022092503503323702,29,29,True
broad,k40_w75,40,75,0.5240215236155408,0.524027191610708,0.5241804502495209,0.00015892663398009432,30,30,True
broad,k50_w50,50,50,0.5162877009704572,0.5163082919900417,0.5164317308099335,0.00014402983947636727,31,31,True
broad,k50_w60,50,60,0.513730032299919,0.513887136132114,0.5140299131897548,0.00029988088983579075,32,32,True
broad,k50_w75,50,75,0.5104330862190866,0.5106084630225278,0.5107676287475728,0.0003345425284861925,34,34,True
broad,k5_w10,5,10,0.008173878615457486,0.008173878615492458,0.008173878616047348,5.898614929833457e-13,61,61,True
broad,k5_w15,5,15,0.018330217994949605,0.018330217995978115,0.018330217995986775,1.0371703496048212e-12,60,60,True
broad,k5_w20,5,20,0.020202068062384337,0.02020206806260405,0.020202068063805756,1.421418538427588e-12,59,59,True
broad,k5_w25,5,25,0.04680549722496541,0.046805497225476445,0.04680549722652905,1.5636381078820705e-12,54,54,True
broad,k5_w30,5,30,0.030652820415169924,0.030652820416454674,0.03065282041748707,2.3171464746951642e-12,57,57,False
broad,k5_w5,5,5,0.0,0.0,0.0,0.0,63,63,False
broad,k5_w50,5,50,0.04432252821849281,0.04432252821934379,0.04432252821986227,1.3694601008751306e-12,55,55,False
broad,k5_w75,5,75,0.06777968830263925,0.06777968830282965,0.0677796883033549,7.156497616733759e-13,47,47,False
broad,k5_w8,5,8,0.0026736076195007508,0.002673607619506968,0.0026736076199782577,4.775069228912798e-13,62,62,False
broad,k8_w10,8,10,0.038695742237626174,0.038697796923424455,0.03870509775118469,9.355513558517714e-06,56,56,True
broad,k8_w15,8,15,0.04943366556786388,0.04947242952484121,0.04948425195658113,5.058638871724419e-05,53,53,True
broad,k8_w20,8,20,0.05819533371798136,0.05819533416197187,0.058254058927208585,5.872520922722835e-05,52,52,True
broad,k8_w25,8,25,0.05998374968574072,0.059988831631567985,0.06007308956126067,8.933987551995592e-05,51,51,True
broad,k8_w30,8,30,0.06224772803674783,0.0622537037661246,0.06234333846827611,9.56104315282813e-05,50,50,True
broad,k8_w50,8,50,0.06593811987347298,0.06606776701549166,0.06608757762775597,0.0001494577542829889,48,48,True
broad,k8_w75,8,75,0.06395078380836061,0.06413387408308668,0.06416546717447469,0.0002146833661140768,49,49,True
broad,k8_w8,8,8,0.026118769104689687,0.026120054425080252,0.02615650337334785,3.773426865816276e-05,58,58,True
narrow,k10_w10,10,10,0.0844857657400816,0.08455200850092282,0.08459878258689857,0.00011301684681697122,46,46,True
narrow,k10_w15,10,15,0.09684386908860076,0.09700129591984497,0.09710115057778712,0.0002572814891863562,45,45,True
narrow,k10_w20,10,20,0.10236598971666322,0.1024223259504754,0.10244216628543468,7.617656877145773e-05,44,44,True
narrow,k10_w25,10,25,0.10434543903311233,0.104441575724734,0.10444865687809957,0.00010321784498723563,43,43,True
narrow,k10_w30,10,30,0.1070927081416777,0.10715964971899916,0.10732689661224704,0.0002341884705693298,42,42,True
narrow,k10_w50,10,50,0.11168274786740562,0.11172566111287818,0.11176037140310213,7.762353569651381e-05,41,41,True
narrow,k10_w75,10,75,0.11325238772209223,0.11328187842706283,0.1133773898491981,0.00012500212710586656,40,40,True
narrow,k15_w15,15,15,0.5588168021198683,0.5588249596532311,0.5588769396469397,6.01375270714577e-05,31,31,True
narrow,k15_w20,15,20,0.5580552568689421,0.5580948065688314,0.5582556273346553,0.0002003704657131955,32,32,True
narrow,k15_w25,15,25,0.5573168284376924,0.5573673295873305,0.5574124266455605,9.559820786808615e-05,33,33,True
narrow,k15_w30,15,30,0.5564231212196107,0.5564749557263144,0.5564812042346852,5.808301507448377e-05,34,34,True
narrow,k15_w50,15,50,0.5537964928162716,0.5538847005476759,0.5538916005098808,9.510769360920879e-05,37,37,True
narrow,k15_w75,15,75,0.5523186418535724,0.5524279931975566,0.5525355531999563,0.00021691134638390785,38,38,True
narrow,k20_w20,20,20,0.5952139915323933,0.5953552320966362,0.5954305743216584,0.00021658278926506291,1,1,True
narrow,k20_w25,20,25,0.5943357464011245,0.5944052141723244,0.5944060635105427,7.031710941818314e-05,2,2,True
narrow,k20_w30,20,30,0.5933470359522568,0.5933641856720512,0.5934733576157425,0.00012632166348569562,3,3,True
narrow,k20_w35,20,35,0.5924300558615142,0.5924566384621736,0.5925652609874305,0.000135205125916249,4,4,True
narrow,k20_w40,20,40,0.5913977999834019,0.5915368832134968,0.5916333291207946,0.0002355291373926649,5,5,True
narrow,k20_w50,20,50,0.5903507779165034,0.5904465959013219,0.5904608236030571,0.00011004568655370583,7,7,True
narrow,k20_w60,20,60,0.5891717199396553,0.5893402256158802,0.5895800963358301,0.00040837639617474775,9,9,True
narrow,k20_w75,20,75,0.5879045676479577,0.5880559718666004,0.5881396070194941,0.00023503937153634968,11,11,True
narrow,k25_w25,25,25,0.5905664194262907,0.5906516996245892,0.5906868389523151,0.00012041952602437345,6,6,True
narrow,k25_w30,25,30,0.5895898069410832,0.5896863873572994,0.589706440160876,0.0001166332197928277,8,8,True
narrow,k25_w35,25,35,0.5884820838378895,0.5886349480592449,0.5886998163231617,0.00021773248527223732,10,10,True
narrow,k25_w40,25,40,0.5875480391192884,0.5877961468102595,0.5878460532154192,0.0002980140961307276,12,12,True
narrow,k25_w50,25,50,0.5859510077294479,0.586061544335581,0.586156942709973,0.00020593498052512427,13,13,True
narrow,k25_w60,25,60,0.5845791331676227,0.5846596553472283,0.5847419118379966,0.0001627786703739531,15,15,True
narrow,k25_w75,25,75,0.5828192142411499,0.5829238384237636,0.583082367458195,0.00026315321704506456,17,17,True
narrow,k30_w30,30,30,0.5846847450568783,0.584803571544463,0.5848485539342358,0.000163808877357563,14,14,True
narrow,k30_w35,30,35,0.5834934087891788,0.583638862640318,0.583755782902619,0.00026237411344021133,16,16,True
narrow,k30_w40,30,40,0.5822227774431254,0.5822776037188508,0.582470636873762,0.00024785943063654337,18,18,True
narrow,k30_w50,30,50,0.5800388915096439,0.5800837344688483,0.5801854781084059,0.00014658659876198854,19,19,True
narrow,k30_w60,30,60,0.5778993328133211,0.5779962279421742,0.5781320882814175,0.0002327554680964239,20,20,True
narrow,k30_w75,30,75,0.5755777850308004,0.5755799496249638,0.5756432402010401,6.545517023970326e-05,23,23,True
narrow,k35_w35,35,35,0.5775634881577678,0.5776169814580785,0.5778875225211478,0.00032403436338002134,21,21,True
narrow,k35_w40,35,40,0.5763615808831136,0.576396412694427,0.5766218670499585,0.0002602861668449252,22,22,True
narrow,k35_w50,35,50,0.5739350956605689,0.5739822635174578,0.5741908422123738,0.0002557465518049362,24,24,True
narrow,k35_w60,35,60,0.5717074678748193,0.5718142218507847,0.5718845421791363,0.00017707430431701532,25,25,True
narrow,k35_w75,35,75,0.5689517296229207,0.5689936246752012,0.5690649484424569,0.00011321881953618718,27,27,True
