experiment_id	sra_accession	geo_accession	source_assembly_set	assembly	species	assembly_count_reported	is_multi_assembly_record	is_designated_comparison_reference	assay	antigen_class	target_reported	target_normalized	cell_type_class	cell_type	title	bed_threshold	candidate_bed_url	bed_verified	verification_method	http_status	content_length	verification_error	source_url	retrieved_at_utc
SRX14474253	SRA1391328	GSM5956416	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX14474253.05.bed	True	HEAD	200	809700		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX14474261	SRA1391328	GSM5956421	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX14474261.05.bed	True	HEAD	200	2116956		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX14474277	SRA1391328	GSM5956442	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX14474277.05.bed	True	HEAD	200	1839787		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX14474281	SRA1391328	GSM5956436	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Cultured cell lines		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX14474281.05.bed	True	HEAD	200	1303542		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX085404	SRA043749	GSM762842	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX085404.05.bed	True	HEAD	200	584798		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX085405	SRA043749	GSM762843	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX085405.05.bed	True	HEAD	200	448466		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX085406	SRA043749	GSM762844	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX085406.05.bed	True	HEAD	200	616886		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX100250	SRA046918	GSM807543	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX100250.05.bed	True	HEAD	200	329475		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX100251	SRA046918	GSM807544	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX100251.05.bed	True	HEAD	200	235429		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX1021223	SRA266961	GSM1678105	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX1021223.05.bed	True	HEAD	200	201065		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX252226	SRA069813	GSM1101656	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX252226.05.bed	True	HEAD	200	558534		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX749039	SRA197268	GSM1535981	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX749039.05.bed	True	HEAD	200	558534		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX749040	SRA197268	GSM1535982	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX749040.05.bed	True	HEAD	200	279223		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX749041	SRA197268	GSM1535983	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	Kc167		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX749041.05.bed	True	HEAD	200	240791		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX016158	SRA010880	GSM499649	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX016158.05.bed	True	HEAD	200	357675		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX016160	SRA010880	GSM499651	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX016160.05.bed	True	HEAD	200	248668		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX191913	SRA059281	GSM1015410	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX191913.05.bed	True	HEAD	200	722174		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX191914	SRA059281	GSM1015411	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX191914.05.bed	True	HEAD	200	489467		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
SRX2638363	SRA545564	GSM2536239	dm3, dm6	dm3	Drosophila melanogaster	2	True	False	ChIP-seq	TFs and others	CTCF	CTCF	Cell line	S2		q < 1e-5	https://chip-atlas.dbcls.jp/data/dm3/eachData/bed05/SRX2638363.05.bed	True	HEAD	200	311950		https://chip-atlas.org/data/ExperimentList.json	2026-07-24T19:40:28+00:00
