resource	assembly	identifier	cell_type	tissue_category	biosample_type	assay	target	output_type	file_format	number_of_intervals	processed_file_download_url	release_date	metadata_source
Roadmap	hg19	NGRMP54HTXBU7W	Adipose	Adipose	Primary tissue	ChIP-seq	H3K27ac	peaks	bed narrowPeak	117574	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Adipose_Nuclei.H3K27ac.7.narrowPeak.bed.gz	11/30/2014	FILER hg19 template
Roadmap	hg19	NGRMP6IX4TGGY5	Adipose	Adipose	Primary tissue	ChIP-seq	H3K27ac	peaks	bed narrowPeak	49824	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.Adipose_Tissue.H3K27ac.STL003.narrowPeak.bed.gz	11/30/2014	FILER hg19 template
Roadmap	hg19	NGRMPASQXW3FTF	Adipose	Adipose	Primary tissue	ChIP-seq	H3K27ac	peaks	bed broadPeak	768728	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/UCSD.Adipose_Tissue.H3K27ac.STL003.broadPeak.bed.gz	02/08/2015	FILER hg19 template
Roadmap	hg19	NGRMPDOIFB6NZP	Adipose	Adipose	Primary tissue	ChIP-seq	H3K27ac	peaks	bed gappedPeak	44600	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.Adipose_Tissue.H3K27ac.STL003.gappedPeak.bed.gz	02/08/2015	FILER hg19 template
Roadmap	hg19	NGRMPG3YBPB6UQ	Adipose	Adipose	Primary tissue	ChIP-seq	H3K27ac	peaks	bed broadPeak	122670	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.Adipose_Nuclei.H3K27ac.7.broadPeak.bed.gz	02/08/2015	FILER hg19 template
Roadmap	hg19	NGRMPS6I3K5R2A	Adipose	Adipose	Primary tissue	ChIP-seq	H3K27ac	peaks	bed gappedPeak	49931	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.Adipose_Nuclei.H3K27ac.7.gappedPeak.bed.gz	02/08/2015	FILER hg19 template
Roadmap	hg19	NGRMP3DFANVT2K	Adrenal gland	Endocrine	Primary tissue	ChIP-seq	H3K27ac	peaks	bed narrowPeak	155447	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304.narrowPeak.bed.gz	11/30/2014	FILER hg19 template
Roadmap	hg19	NGRMP454X3EYFF	Adrenal gland	Endocrine	Primary tissue	ChIP-seq	H3K27ac	peaks	bed narrowPeak	70508	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.Adrenal_Gland.H3K27ac.STL003.narrowPeak.bed.gz	11/30/2014	FILER hg19 template
Roadmap	hg19	NGRMP6DX4CPFRM	Adrenal gland	Endocrine	Primary tissue	ChIP-seq	H3K27ac	peaks	bed gappedPeak	54778	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.Adrenal_Gland.H3K27ac.STL003.gappedPeak.bed.gz	02/08/2015	FILER hg19 template
Roadmap	hg19	NGRMPMEVPLHYSO	Adrenal gland	Endocrine	Primary tissue	ChIP-seq	H3K27ac	peaks	bed gappedPeak	72977	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304.gappedPeak.bed.gz	02/08/2015	FILER hg19 template
