resource	assembly	marker	identifier	cell_type	processed_file_download_url
Roadmap	hg19	H2AK5ac	NGRMP2JWUQUJRW	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK170.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP3PBA2PREJ	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2AK5ac.YL60.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP3TKQEQXKF	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2AK5ac.YL60.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP4AA7BOJHF	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H9.H2AK5ac.AK28.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP4H55X2LLX	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK523.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP5GOH53MVA	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK523.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP6E3YFIVCA	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2AK5ac.YL20.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP7KALQIDMO	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK126.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP7RHUXFXXP	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.CY7.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP7WFIC6Z7N	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H9.H2AK5ac.SK193.gappedPeak.bed.gz
