repository	dataset_id	file_accession	target	assembly	file_format	output_type	output_category	download_url	retrieved_at_utc
Roadmap Epigenomics	E003		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E003-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E004		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E004-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E005		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E005-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E006		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E006-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E007		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E007-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E008		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E008-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E011		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E011-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E012		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E012-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E013		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E013-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E014		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E014-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E015		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E015-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E016		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E016-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E017		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E017-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E019		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E019-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E020		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E020-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E021		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E021-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E022		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E022-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E026		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E026-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E029		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E029-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E032		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E032-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E034		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E034-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E037		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E037-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
Roadmap Epigenomics	E038		H3K27ac	hg19	narrowPeak	consolidated narrow peaks	annotation	https://egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/narrowPeak/E038-H3K27ac.narrowPeak.gz	2026-07-24T19:57:09+00:00
