year	release	genbank_bases	genbank_sequences	wgs_bases	wgs_sequences	total_bases	total_sequences
2009	173	106533156756	108431692	148165117763	48443067	254698274519	156874759
2010	179	117476523128	122941883	169253846128	58994334	286730369256	181936217
2011	185	130671233801	142284608	208315831132	64997137	338987064933	207281745
2012	191	143081765233	156424033	308196411905	84020064	451278177138	240444097
2013	197	154192921011	167295840	500420412665	124812020	654613333676	292107860
2014	203	165722980375	174108750	774052098731	189080419	939775079106	363189169
2015	209	199823644287	187066846	1163275601001	302955543	1363099245288	490022389
2016	215	217971437647	196120831	1637224970324	359796497	1855196407971	555917328
2017	221	240343378258	203180606	2242294609510	499965722	2482637987768	703146328
2018	227	260806936411	208831050	3204855013281	665309765	3465661949692	874140815
2019	233	366733917629	213865349	5585922333160	1075272215	5952656250789	1289137564
2020	239	654057069549	218642238	8841649410652	1408122887	9495706480201	1626765125
2021	245	940513260726	231982592	13888187863722	1653427055	14828701124448	1885409647
2022	251	1492800704497	239915786	17511809676629	2024099677	19004610381126	2264015463
2023	257	2112058517945	246119175	22294446104543	2631493489	24406504622488	2877612664
2024	262	3675462701077	251998350	29643594176326	3569715357	33319056877403	3821713707
2025	268	5676067778413	258320620	40390433406298	4441331387	46066501184711	4699652007
