year	series	platforms	samples
2001	13	19	670
2002	105	169	2645
2003	628	524	10386
2004	1475	1082	28246
2005	2869	1923	63630
2006	4682	2876	109408
2007	7393	4214	187376
2008	10671	5349	272277
2009	14983	6752	383166
2010	20551	8124	509292
2011	27341	9607	672896
2012	34937	10887	851671
2013	44095	12374	1054392
2014	53616	13753	1306436
2015	64070	15275	1571528
2016	77664	16720	1919542
2017	93026	18005	2313107
2018	106799	19217	2814554
2019	122734	20436	3357000
2020	141659	21676	4110457
2021	167145	22889	4810445
2022	191004	24620	5452713
2023	215730	25653	6940444
2024	243240	26874	7563681
2025	270498	27918	8216725
