year	cumulative_experiments	query_term	retrieval_date	query_url
2009	4834962	1900/01/01:2009/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2009%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2010	4856155	1900/01/01:2010/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2010%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2011	4897024	1900/01/01:2011/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2011%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2012	5010578	1900/01/01:2012/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2012%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2013	5194896	1900/01/01:2013/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2013%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2014	5594919	1900/01/01:2014/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2014%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2015	6251368	1900/01/01:2015/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2015%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2016	7314030	1900/01/01:2016/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2016%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2017	8465329	1900/01/01:2017/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2017%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2018	10259704	1900/01/01:2018/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2018%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2019	12380728	1900/01/01:2019/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2019%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2020	15538071	1900/01/01:2020/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2020%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2021	21131362	1900/01/01:2021/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2021%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2022	27439270	1900/01/01:2022/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2022%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2023	32546182	1900/01/01:2023/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2023%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2024	37406646	1900/01/01:2024/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2024%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
2025	42537625	1900/01/01:2025/12/31[PDAT]	2026-07-24	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=sra&term=1900%2F01%2F01%3A2025%2F12%2F31%5BPDAT%5D&rettype=count&retmode=json&tool=hammock_database_counts&email=jbonnie1%40jhu.edu
