stratum,precision,estimator,tau,lo,hi,mae,n
J < 0.05,12,Register-equality (jaccard_similarity),0.33349125384501144,0.3252120468773218,0.35013385774357664,0.16959855488636363,66
J < 0.05,12,Inclusion–exclusion (jaccard_similarity_ie),0.2681138756506699,0.21958152756442026,0.3305041548907769,0.008080421737237926,66
J < 0.05,16,Register-equality (jaccard_similarity),0.6576307364103824,0.6338110818622805,0.6818423401149152,0.1695550904569129,66
J < 0.05,16,Inclusion–exclusion (jaccard_similarity_ie),0.5620915032679739,0.5238095238095238,0.5894179894179895,0.0018537749843943706,66
J < 0.05,20,Register-equality (jaccard_similarity),0.9047619047619048,0.8645502645502646,0.9301587301587303,0.16937094493028385,66
J < 0.05,20,Inclusion–exclusion (jaccard_similarity_ie),0.7936507936507936,0.7820105820105822,0.8264550264550266,5.216896410043798e-4,66
J < 0.05,24,Register-equality (jaccard_similarity),0.9066293183940243,0.8730158730158731,0.925925925925926,0.04471892697701303,66
J < 0.05,24,Inclusion–exclusion (jaccard_similarity_ie),0.9673202614379085,0.9513227513227515,0.9746031746031747,1.1533297215657258e-4,66
0.05 ≤ J < 0.2,12,Register-equality (jaccard_similarity),0.8333333333333335,0.7333333333333333,1,0.16368688159722222,9
0.05 ≤ J < 0.2,12,Inclusion–exclusion (jaccard_similarity_ie),0.8333333333333335,0.8666666666666667,0.8666666666666667,0.011394981286742396,9
0.05 ≤ J < 0.2,16,Register-equality (jaccard_similarity),1,1,1,0.16175240622829862,9
0.05 ≤ J < 0.2,16,Inclusion–exclusion (jaccard_similarity_ie),1,1,1,0.00327728422424882,9
0.05 ≤ J < 0.2,20,Register-equality (jaccard_similarity),1,1,1,0.1622899025538508,9
0.05 ≤ J < 0.2,20,Inclusion–exclusion (jaccard_similarity_ie),1,1,1,7.241800875125737e-4,9
0.05 ≤ J < 0.2,24,Register-equality (jaccard_similarity),1,1,1,0.03991526258392392,9
0.05 ≤ J < 0.2,24,Inclusion–exclusion (jaccard_similarity_ie),1,1,1,1.0738162037320626e-4,9
J ≥ 0.2,12,Register-equality (jaccard_similarity),0.980392156862745,0.9545454545454546,1,0.06592194583333333,15
J ≥ 0.2,12,Inclusion–exclusion (jaccard_similarity_ie),0.9411764705882352,0.9090909090909091,1,0.006911117103346461,15
J ≥ 0.2,16,Register-equality (jaccard_similarity),0.980392156862745,0.9545454545454546,1,0.06727997805989581,15
J ≥ 0.2,16,Inclusion–exclusion (jaccard_similarity_ie),0.9999999999999999,1,1,0.00228056974406821,15
J ≥ 0.2,20,Register-equality (jaccard_similarity),0.9999999999999999,1,1,0.06722851700226411,15
J ≥ 0.2,20,Inclusion–exclusion (jaccard_similarity_ie),0.9999999999999999,1,1,4.811240467619308e-4,15
J ≥ 0.2,24,Register-equality (jaccard_similarity),0.9999999999999999,1,1,0.01355577439272231,15
J ≥ 0.2,24,Inclusion–exclusion (jaccard_similarity_ie),0.9999999999999999,1,1,7.642648663646057e-5,15
